"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,60.10963,18.47019
"2","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,62.92545,17.79651
"3","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,58.66107,15.77948
"4","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,56.97757,16.08794
"5","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,56.79172,16.58302
"6","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,49,-106.55
"7","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,49,-106.559998
"8","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,26.809999,100.18
"9","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,58.307533,14.630983
"10","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,59.772956,13.473714
"11","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,57.536783,18.337883
"12","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,59.1759,18.247583
"13","Aleiodes ruficornis (Herrich-Schaffer, 1838)","ACCEPTED",1265078,1265078,56.54745,16.57725
