"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,49.091,-119.523
"2","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,49.077,-119.521
"3","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,41.26155,-121.95055
"4","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.852572,-113.904232
"5","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.97096,-114.04408
"6","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.955509,-114.025891
"7","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.984013,-114.06549
"8","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.983804,-114.0676
"9","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,39.58972,-120.36639
"10","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,35.774451,-110.13679
"11","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,32.716548,-112.84108
"12","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,34.54043,-119.80029
"13","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,31.765846,-109.080322
"14","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.515932,-111.691827
"15","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.36337,-116.83613
"16","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,35.35139,-120.16316
"17","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.422268,-111.82264
"18","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,39.58416,-119.18351
"19","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,34.74545,-118.87326
"20","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,39.38611,-120.09306
"21","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,33.61301,-114.99563
"22","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,41.44402,-120.8346
"23","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,37.72757,-121.429
"24","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,38.75414,-120.26763
"25","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,39.66431,-120.43852
"26","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,36.98542,-120.63998
"27","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,40.88639,-121.57128
"28","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,45.917922,-119.306963
"29","Chrysis separata (Trautmann, 1926)","ACCEPTED",8804516,8804516,46.872624,-120.773963
