"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,59.570659,10.656876
"2","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,59.470753,10.633888
"3","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,69.9503,23.0585
"4","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,53.416017,-1.18201
"5","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,53.448901,-1.173322
"6","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,51.91,4.4
"7","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,50.76,5.91
"8","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,69.7968,24.1932
"9","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,69.7758,23.9112
"10","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,51.49,4.31
"11","Ctenochira xanthopyga (Holmgren, 1857)","ACCEPTED",5028024,5028024,55.38333,13.15
