"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.0627,46.8924
"2","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.0622,46.8933
"3","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.13,46.9107
"4","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.1388,46.8463
"5","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.1336,46.8185
"6","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.1636,46.8144
"7","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.0584,46.8961
"8","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.0622,46.9032
"9","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.061,46.9003
"10","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.0618,46.8985
"11","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.2599,46.9609
"12","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.1358,46.833
"13","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.1515,46.8418
"14","Dasylabris regalis (Fabricius, 1793)","ACCEPTED",4505990,4505990,48.1455,46.8572
