"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,52.5,4.9
"2","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,36.786281,127.131324
"3","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,51.35,5.6
"4","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,51.5,6.1
"5","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,50.88851,3.39097
"6","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,52.1,5.1
"7","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,49.264222,12.131238
"8","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,56.69427,13.13323
"9","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,43.89083,7.44583
"10","Encyrtus obscurus Dalman, 1820","SYNONYM",1379315,1379313,43.8944,7.3775
"11","Encyrtus obscurus Dalman, 1820","SYNONYM",1379315,1379313,43.8928,7.38361
"12","Encyrtus obscurus Dalman, 1820","SYNONYM",1379315,1379313,43.89444,7.3775
"13","Encyrtus obscurus Dalman, 1820","SYNONYM",1379315,1379313,43.89278,7.38361
"14","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,44.0728,6.84694
"15","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,44.07278,6.84694
"16","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,59.6185,9.6775
"17","Encyrtus infidus (Rossi, 1790)","ACCEPTED",1379313,1379313,59.9155,10.6705
"18","Encyrtus scutellaris Dalman, 1820","SYNONYM",8372575,1379313,55.54065,13.27106
"19","Encyrtus scutellaris Dalman, 1820","SYNONYM",8372575,1379313,55.40656,12.97211
"20","Chrysis infidus Rossi, 1790","SYNONYM",7678290,1379313,34.6833,33.0578
