"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,43.90333,7.44139
"2","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,43.95583,7.37528
"3","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,44.08583,7.53027
"4","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,44.11528,7.47555
"5","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,62.46853,12.68857
"6","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,60.74245,13.54484
"7","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,56.89778,14.98431
"8","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,63.07426,14.42891
"9","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,57.77372,18.8948
"10","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,55.66515,13.35232
"11","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,56.39237,16.07079
"12","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,63.31899,19.02832
"13","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,62.53861,17.42918
"14","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,65.94683,22.65177
"15","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,63.82377,20.26854
"16","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,62.52317,17.24946
"17","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,65.82697,23.33917
"18","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,65.3837,21.50181
"19","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,60.88399,17.14556
"20","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,64.66443,21.11575
"21","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,56.98033,14.9862
"22","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,63.83909,20.49411
"23","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,62.85687,17.85964
"24","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,58.37519,15.82501
"25","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,55.77965,14.19962
"26","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,58.38463,14.69315
"27","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,56.89777,12.5163
"28","Euneura sopolis (Walker, 1844)","ACCEPTED",1395709,1395709,56.51203,14.13165
