"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.728053,-1.279569
"2","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.02187,17.163996
"3","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,50.368652,8.885365
"4","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,55.843446,39.061817
"5","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,48.873981,8.790667
"6","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,50.95973,-1.19819
"7","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.039885,-0.605712
"8","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,52.050957,8.551689
"9","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.389999,11.15
"10","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,51.11332,2.60713
"11","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,55.72624,13.7049
"12","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,59.883181,10.537299
"13","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,58.11857,11.48101
"14","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.646,-2.540899
"15","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.015999,11.546
"16","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.145,11.585
"17","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.082001,11.453
"18","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.097,11.453
"19","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,55.72586,13.70432
"20","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.623369,-1.425317
"21","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,59.920527,10.631207
"22","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,42.75,0.08
"23","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,42.75472,0.07472
"24","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,59.920489,10.631367
"25","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,60.073951,10.209734
"26","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,35.970001,51.349998
"27","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.258725,-0.260156
"28","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,48.723,11.103
"29","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,51.11332,3.39287
"30","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.164001,11.446
"31","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,59.23645,26.99254
"32","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.413581,-2.59021
"33","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,50.792254,10.78089
"34","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.111,11.426
"35","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,49.110001,11.43
"36","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,48.07,11.24
"37","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.07,10.48
"38","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.352533,-2.339562
"39","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.73563,-3.377122
"40","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.214962,-1.661352
"41","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.226126,-1.636209
"42","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.452596,-2.235248
"43","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.298261,-1.707355
"44","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,44.81428,0.66885
"45","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.185001,11.873
"46","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,49.189999,11.87
"47","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.2129,5.44415
"48","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.57557,-0.828936
"49","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.329056,-2.590559
"50","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.467561,-3.225066
"51","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.445596,-2.656814
"52","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,53.303653,-3.409803
"53","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.645744,-3.374396
"54","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.950001,13.93
"55","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.618,10.96
"56","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,49.619999,10.96
"57","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,54.252221,-0.691503
"58","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.778999,11.577
"59","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,49.4568,6.01638
"60","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.348404,0.759282
"61","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,53.626171,-0.867449
"62","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.600228,1.173332
"63","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,54.252552,-0.692951
"64","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,47.2093,5.0596
"65","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,47.09097,5.19877
"66","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.958509,-0.651621
"67","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.224466,-0.560129
"68","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.031283,-0.429314
"69","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.296325,-0.373484
"70","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,50.9833,7.1331
"71","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,61.3706,35.3579
"72","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.591956,1.468096
"73","Hartigia linearis (Schrank, 1781)","ACCEPTED",6096928,6096928,50.6667,7.0167
"74","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.310595,0.279576
"75","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,53.201255,-1.110726
"76","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,52.913063,-1.042284
"77","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,51.433627,0.509018
"78","Phylloecus linearis (Schrank, 1781)","SYNONYM",8557221,6096928,53.302363,-0.846021
