"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,53.3,6.2
"2","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.25,6.65
"3","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.25,6.5
"4","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.2,6.5
"5","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.15,5.2
"6","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,51.65,4.35
"7","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,50.9,5.95
"8","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,50.95,5.8
"9","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.05,4.2
"10","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.55,4.6
"11","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.1,5.3
"12","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,51.8,4.3
"13","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.85,7.05
"14","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.110736,17.690937
"15","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.75,6.15
"16","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,50.935297,6.041914
"17","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.2,5.25
"18","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,43.6129,2.107
"19","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,47.648373,7.568632
"20","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.15,4.35
"21","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,49.777409,7.621301
"22","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,52.5,6.05
"23","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,44.04245,1.74779
"24","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,50.155373,8.429325
"25","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,51.5,5.9
"26","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,50.051849,8.453465
"27","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,45.95411,6.73998
"28","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,34.775336,126.152764
"29","Hoplismenus terrificus Wesmael, 1848","ACCEPTED",1285407,1285407,56.98711,16.07083
