"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29835,7.79555
"2","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29813,7.86044
"3","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.11899,7.47099
"4","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29891,7.47109
"5","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.34221,8.05562
"6","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.34255,7.99068
"7","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29879,7.60087
"8","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,47.25,19.608999
"9","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,47.126999,19.427999
"10","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,47.25,19.610001
"11","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,47.130001,19.43
"12","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29854,7.73066
"13","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29868,7.66577
"14","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.34366,7.66595
"15","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.34351,7.7309
"16","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,38.616001,34.716999
"17","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,38.619999,34.720001
"18","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.16397,7.40628
"19","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.11843,7.08292
"20","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.1636,7.14736
"21","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.31646,7.75672
"22","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,43.900002,5.29
"23","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29757,7.99022
"24","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.34333,7.79584
"25","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29887,7.53598
"26","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29787,7.92533
"27","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,43.9494,4.80889
"28","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.28987,7.53597
"29","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.18196,7.40627
"30","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.27187,7.54891
"31","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.17297,7.41922
"32","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.32993,6.38026
"33","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.51129,6.54611
"34","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.29798,7.89937
"35","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.12743,7.08286
"36","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.23511,7.87292
"37","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.1004,7.07011
"38","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.22691,7.3544
"39","Lasioglossum euboeensis (Strand, 1909)","SYNONYM",4495486,1353590,47.9387,7.25441
"40","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.27188,7.53593
"41","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.20035,6.04591
"42","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.2809,7.51
"43","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.27183,7.58782
"44","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,46.28986,7.54894
"45","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,44.40902,-1.17708
"46","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,37.733333,28.916667
"47","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,50.7167,7.05
"48","Lasioglossum euboeense (Strand, 1909)","ACCEPTED",1353590,1353590,50.5331,7.1997
