"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,42.336857,13.453525
"2","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,38.90779,-122.6235
"3","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,38.42903,-121.91427
"4","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,40.745746,-111.927442
"5","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,32.8272,-118.3649
"6","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,37.268806,-121.93505
"7","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,37.215888,-121.867075
"8","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,34.420512,-119.879176
"9","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,33.983457,-118.124266
"10","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,37.7825,-120.7831
"11","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,37.9064,-122.2109
"12","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,37.5947,-121.8889
"13","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,37.835,-122.1293
"14","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,41.5686,0.76203
"15","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,41.406399,0.33695
"16","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,41.548401,0.65482
"17","Metanotalia maderensis (Walker, 1872)","ACCEPTED",1374518,1374518,41.5541,0.49875
