"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,40.8,-96.67
"2","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,41.92947,-88.75036
"3","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,-39.6,176.8
"4","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,55.7167,14.1833
"5","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,18.461111,-97.391944
"6","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,45.95,-66.633333
"7","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,40.11639,-88.24333
"8","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,-26.02,27.51
"9","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,-33.56,18.51
"10","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,-33.46,18.58
"11","Muscidifurax raptor Girault & Sanders, 1910","ACCEPTED",1395976,1395976,27.7731,-82.64
