"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,44.770654,7.871196
"2","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,44.760459,9.813046
"3","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,45.116918,8.188692
"4","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,45.09992,8.226338
"5","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,45.09988,8.226378
"6","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,45.587199,9.431873
"7","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,42.203471,-87.839228
"8","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.132763,-97.54001
"9","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.05,4.55
"10","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.66014,-1.32356
"11","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.127901,-97.539269
"12","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.75,5.8
"13","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.35,4.55
"14","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.05,5.2
"15","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.75091,3.88597
"16","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.91891,4.88507
"17","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.22848,5.18416
"18","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.9935,5.67192
"19","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.84226,3.67465
"20","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.095,5.10645
"21","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.79531,3.95776
"22","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.18487,5.11055
"23","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.09095,5.32049
"24","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.85,5.75
"25","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.55,3.5
"26","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.4,6.45
"27","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.0064,5.03116
"28","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.00249,5.2448
"29","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.13993,5.1085
"30","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.18613,5.03905
"31","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.1412,5.03707
"32","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.29369,3.17927
"33","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.14242,4.96564
"34","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.18355,5.18204
"35","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.936123,-0.851457
"36","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.4,6.5
"37","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.6,5.45
"38","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.55,6.55
"39","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.5,6.55
"40","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.79587,3.88682
"41","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.2298,5.1126
"42","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.13862,5.17992
"43","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.820531,-0.991336
"44","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.245705,1.616846
"45","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.25,6.05
"46","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.75035,3.95684
"47","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.11332,3.39287
"48","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,50.93127,3.81824
"49","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.937522,-0.85675
"50","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.449848,-1.323881
"51","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,51.858677,0.235599
"52","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.450605,-1.474448
"53","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.359969,-1.325304
"54","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,42.47816,3.02395
"55","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.359025,-1.175062
"56","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.416017,-1.18201
"57","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.448901,-1.173322
"58","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,40.580002,-4.16
"59","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,40.540001,-6.16
"60","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.517983,0.872556
"61","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.514317,1.019723
"62","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,53.123454,-0.940481
"63","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.999901,-1.241525
"64","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,52.837916,-1.214659
"65","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,41.380001,2.18
"66","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,41.55918,-73.024031
"67","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,41.558152,-73.051497
"68","Neuroterus politus Hartig, 1840","ACCEPTED",4496861,4496861,41.55806,-73.05194
