"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,28.110273,-15.41942
"2","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,35.803698,-5.746212
"3","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.376076,-5.748522
"4","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.373815,-5.757722
"5","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.814759,-2.599208
"6","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.812242,-2.602454
"7","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.37096,-5.744928
"8","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.175517,-7.480078
"9","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.812136,-2.602503
"10","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.812237,-2.602468
"11","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.812135,-2.602454
"12","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,35.189018,25.717409
"13","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,28.107362,-15.418307
"14","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.996803,13.883742
"15","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.251528,-6.096125
"16","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,-2.52757,29.4168
"17","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,-2.48095,29.11175
"18","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,-1.93592,30.10068
"19","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.951154,23.497015
"20","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.475471,-5.809193
"21","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.976495,23.728542
"22","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,33.544477,-7.760451
"23","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,35.53272,24.057877
"24","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.81716,23.83146
"25","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.703611,3.172222
"26","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.783333,3.316667
"27","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,17.10578,54.45293
"28","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,23.55886,58.12772
"29","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.74212,-4.11091
"30","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.4,-5.99
"31","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,29.0332,-13.70408
"32","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.72,-4.43
"33","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,35.57415,27.15589
"34","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,37.93333,22.93333
"35","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,0.830988,30.16449
"36","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,25.06,56.01
"37","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,24.48124,46.79668
"38","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,19.83882,41.31178
"39","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,25.267612,55.866802
"40","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,36.03333,27.95
"41","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,38.43222,-0.66194
"42","Nylanderia jaegerskioeldi (Mayr, 1904)","SYNONYM",8295316,1325547,-6.26755,39.41111
