"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,52.05,5.2
"2","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,58.94208,9.30108
"3","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.33768,11.6911
"4","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.22667,11.57985
"5","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.57247,11.2925
"6","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.96315,10.32906
"7","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.9593,11.60359
"8","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,62.286483,7.361822
"9","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,62.286418,7.361652
"10","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,58.82621,9.24644
"11","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,58.82529,9.25029
"12","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,62.9583,10.2611
"13","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.08206,10.07347
"14","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,59.98538,11.11037
"15","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,62.58,11.36
"16","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,55.38333,13.15
"17","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,55.54065,13.27106
"18","Phaenoserphus pallipes (Jurine, 1807)","ACCEPTED",4503950,4503950,56.07481,13.19166
