"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,36.086,-93.741
"2","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.38941,-28.23951
"3","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.40275,-28.25692
"4","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39392,-28.23959
"5","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.38953,-28.22807
"6","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.44897,-28.14313
"7","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.38947,-28.23379
"8","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39836,-28.24539
"9","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.40725,-28.257
"10","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.45336,-28.15466
"11","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.40731,-28.25127
"12","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39398,-28.23387
"13","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39386,-28.24532
"14","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.38935,-28.24524
"15","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.40281,-28.2512
"16","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39374,-28.25676
"17","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.40287,-28.24547
"18","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.3938,-28.25104
"19","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.3983,-28.25112
"20","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39404,-28.22814
"21","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.44891,-28.14886
"22","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.41176,-28.25708
"23","Protapanteles militaris (Walsh, 1861)","ACCEPTED",1256780,1256780,38.39824,-28.25684
"24","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,38.9717,-95.235
"25","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,38.9079,-121.5739
"26","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,38.97167,-95.235
"27","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,35.1425,-119.45556
"28","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,38.545,-121.73944
"29","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,42.129224,-80.085059
"30","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,40.111,-88.207
"31","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,42.27083,-83.72639
"32","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,47.839951,-92.096202
"33","Glyptapanteles militaris (Walsh, 1861)","SYNONYM",10886898,1256780,41.448,-90.154
