"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.091931,-0.83722
"2","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.091033,-0.837245
"3","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.790301,-0.658102
"4","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.090134,-0.83727
"5","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.786232,-0.655955
"6","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.649261,-1.227655
"7","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.761851,-2.024233
"8","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.939333,-0.858224
"9","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.868987,-1.583277
"10","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.359969,-1.325304
"11","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,66.55,-52.433333
"12","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,61.933333,-49.316667
"13","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,65.783333,-52.65
"14","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.301005,-1.840157
"15","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.497224,-1.207808
"16","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.359025,-1.175062
"17","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.450605,-1.474448
"18","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.251871,-0.543392
"19","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.449848,-1.323881
"20","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.65157,-1.237447
"21","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.274076,-2.132029
"22","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,53.448901,-1.173322
"23","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,57.25397,-3.750317
"24","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,54.253068,-1.134304
"25","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,61.7333,15.1667
"26","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,51.91,4.4
"27","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,50.76,5.91
"28","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,52.642537,-1.779755
"29","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,68.3667,19.1
"30","Stilpnus tenebricosus (Gravenhorst, 1829)","ACCEPTED",1289715,1289715,58.5833,16.1833
