"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.983221,32.000756
"2","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,45.422369,34.282289
"3","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.819486,32.009682
"4","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.816308,32.002432
"5","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.4277,35.34116
"6","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.975033,31.994583
"7","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.55,32.923056
"8","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.483056,32.168333
"9","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.448876,31.967878
"10","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.446382,32.109861
"11","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,44.900569,35.161148
"12","Stizus bipunctatus (F.Smith, 1856)","ACCEPTED",4494611,4494611,46.108079,34.441986
