"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,37.674079,26.875793
"2","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.728014,15.620696
"3","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632372,11.440592
"4","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,51.442388,21.960935
"5","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632494,11.440813
"6","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.794541,15.882738
"7","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.727804,15.620616
"8","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.880523,15.843708
"9","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,49.999631,8.330323
"10","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,47.38069,2.88271
"11","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,47.38084,2.88287
"12","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,41.35645,1.96658
"13","Eucera macroglossa Illiger, 1806","SYNONYM",4495618,9761295,49.763805,8.479293
"14","Eucera macroglossa Illiger, 1806","SYNONYM",4495618,9761295,49.918152,8.59244
"15","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,40.929629,14.026742
"16","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.727714,15.620664
"17","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632979,11.441466
"18","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.638261,11.428696
"19","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632469,11.440138
"20","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.489933,15.696122
"21","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632367,11.44048
"22","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632395,11.44028
"23","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.638245,11.428785
"24","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632533,11.440758
"25","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632493,11.440749
"26","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632493,11.440747
"27","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632495,11.440739
"28","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.632381,11.440247
"29","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.679711,11.502714
"30","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.918089,15.577134
"31","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.872778,17.503611
"32","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,44.192759,4.146802
"33","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,48.489903,15.69613
"34","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,44.195113,4.141588
"35","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,53.319945,18.379395
"36","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,47.00189,19.918258
"37","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,45.819242,-0.947173
"38","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.757685,15.414149
"39","Tetralonia macroglossa (Illiger, 1806)","SYNONYM",6096968,9761295,46.15538,6.04706
"40","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.88166,4.96578
"41","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.93869,5.14809
"42","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,49.839562,8.579802
"43","Tetralonia malvae (Rossi, 1790)","ACCEPTED",9761295,9761295,46.708557,15.632194
