"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,43.40307,0.791633
"2","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,45.609378,5.543475
"3","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,50.252838,2.937309
"4","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,50.827613,5.636812
"5","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,39.764702,-8.825339
"6","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,47.889938,0.265623
"7","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,48.931885,-0.664113
"8","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,43.044791,-6.251055
"9","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,44.740234,-0.649982
"10","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,43.947387,4.932201
"11","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,38.517742,-122.91484
"12","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,41.51602,-7.784411
"13","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,41.516027,-7.784343
"14","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,44.004658,3.607528
"15","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,45.96674,8.543861
"16","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,51.154499,4.898202
"17","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,44.961065,4.922673
"18","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,50.644174,3.274778
"19","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,51.016071,4.83806
"20","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,40.283448,20.03277
"21","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,45.5918,4.70342
"22","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,43.849158,4.032553
"23","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,46.66291,2.34341
"24","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,51.012742,4.332991
"25","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,34.405282,36.176728
"26","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,45.8704,4.6414
"27","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,47.42486,4.77234
"28","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,45.84707,5.25166
"29","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,47.08118,-1.2176
"30","Urocerus sah (Mocsáry, 1881)","ACCEPTED",4492202,4492202,35.5553,6.1783
