"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,50.733997,-2.040996
"2","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.49848,-0.23617
"3","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,50.37884,8.76015
"4","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,55.92238,13.57757
"5","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,48.766585,2.16757
"6","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.238901,20.015156
"7","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.23868,20.015259
"8","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,50.700834,12.499762
"9","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.909042,0.474653
"10","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,59.21301,18.16541
"11","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,56.58294,16.62608
"12","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.57025,11.96869
"13","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.01373,11.62375
"14","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,59.31978,18.44999
"15","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,55.93345,14.2632
"16","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.91976,15.66353
"17","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,57.59891,18.21132
"18","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,59.74351,17.78147
"19","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,59.80304,17.63171
"20","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,56.08477,13.64388
"21","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,55.95649,14.28304
"22","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.57427,13.42771
"23","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,59.51622,18.05956
"24","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.01324,11.62471
"25","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.3096,-0.238447
"26","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.593196,-2.493764
"27","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,50.85056,6.879517
"28","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.484776,-2.086692
"29","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.463902,-0.267492
"30","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.986875,16.035623
"31","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.818905,15.585215
"32","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.325054,12.34297
"33","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,47.597673,18.97453
"34","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,44.086248,3.799502
"35","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,50.551368,5.098172
"36","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.325075,12.342961
"37","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,45.331599,7.941979
"38","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.056533,12.684292
"39","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.873148,15.856015
"40","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.537471,-1.234699
"41","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.48386,11.43178
"42","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,56.62909,16.63692
"43","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.238768,20.015489
"44","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,58.01389,11.62292
"45","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,53.15,6.6
"46","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.8,4.6
"47","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.45,5.45
"48","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.15,5.15
"49","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,50.85,6
"50","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.05,6.45
"51","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.5,5.7
"52","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.7,3.9
"53","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52,4.7
"54","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.5,4.75
"55","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.85,4.65
"56","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.45,6.1
"57","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52.4,4.8
"58","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,52,4.65
"59","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,56.79105,16.58021
"60","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,49.24039,7.06423
"61","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.986862,16.035703
"62","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.987488,16.03734
"63","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,51.325085,12.34293
"64","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.986865,16.035605
"65","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,46.987508,16.03732
"66","Crassa unitella (Hübner, 1796)","DOUBTFUL",4528694,4528694,47.597673,18.974516
