"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.524753,172.6419
"2","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.527757,172.624841
"3","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.578743,172.62647
"4","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-40.2822,175.747293
"5","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.52773,172.624857
"6","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.530982,-5.691549
"7","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.925122,174.738067
"8","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.764199,172.38459
"9","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528172,172.627823
"10","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-40.282169,175.747368
"11","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-40.282206,175.747227
"12","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.63733,172.485799
"13","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.52816,172.627738
"14","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528152,172.627752
"15","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528094,172.62779
"16","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.93,174.645
"17","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.602548,172.582925
"18","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.923718,174.703823
"19","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.527879,172.624661
"20","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.720999,172.257961
"21","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.527875,172.624394
"22","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528065,172.627784
"23","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.849882,174.769307
"24","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.93017,174.698485
"25","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528209,172.6278
"26","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-40.84756,172.873845
"27","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528122,172.627716
"28","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.919708,174.611592
"29","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.528127,172.627759
"30","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,55.105398,-6.661185
"31","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,48.72516,-0.9002
"32","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.527824,172.62402
"33","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.696837,172.321376
"34","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-40.282204,175.747317
"35","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.494462,172.220292
"36","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-41.270848,174.773964
"37","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-43.706172,172.342901
"38","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.51265,-5.761862
"39","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.850565,174.769656
"40","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-40.281378,175.747925
"41","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.849415,174.767693
"42","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,48.30685,11.349255
"43","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,-36.850489,174.76979
"44","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.699336,-6.208458
"45","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.699404,-6.213109
"46","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.400009,-5.919697
"47","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.806259,-6.230559
"48","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.649395,-5.797968
"49","Dryadaula pactolia Meyrick, 1901","ACCEPTED",1856893,1856893,54.339541,-7.593324
