"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,36.690928,-5.372561
"2","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.912634,-1.059019
"3","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,38.298298,-1.438633
"4","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,38.541385,-1.294529
"5","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,38.176022,-1.100857
"6","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.808341,-1.374973
"7","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,39.90389,-1.154938
"8","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.019062,-2.420185
"9","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,36.751429,-5.366135
"10","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,36.766419,-5.381589
"11","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.889549,-1.146393
"12","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,38.253655,-1.201958
"13","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.999215,-1.246926
"14","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,38.041565,-1.299242
"15","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.998016,-1.249558
"16","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.561322,-1.33377
"17","Eurhodope cruentella Duponchel, 1842","ACCEPTED",1876514,1876514,37.862964,-1.473613
