"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,44.069149,7.165867
"2","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,43.936237,3.673894
"3","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,44.04222,6.83275
"4","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,42.58661,9.26967
"5","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,42.374092,18.953264
"6","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,41.654323,25.870761
"7","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,44.67583,5.53417
"8","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,44.75183,4.42466
"9","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,45.07245,5.8299
"10","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,43.88522,5.39561
"11","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,43.990556,7.315278
"12","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,44.188889,7.050833
"13","Hypena palpalis Hübner, 1796","ACCEPTED",1798769,1798769,44.0907,6.23586
