"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,58.0125,11.80784
"2","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.53026,16.50724
"3","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.50579,15.45414
"4","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,57.72122,18.68207
"5","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.52863,14.26569
"6","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.92545,17.79651
"7","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.583366,27.732755
"8","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,51.85,6
"9","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,46.23873,20.014911
"10","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,46.23892,20.014697
"11","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,57.48271,11.94207
"12","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.226812,25.757854
"13","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.18701,12.55984
"14","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.29874,16.49715
"15","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.53904,16.48387
"16","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.805461,22.378933
"17","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.742225,11.009617
"18","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,58.10068,6.703929
"19","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.206418,24.661266
"20","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.921721,27.633349
"21","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.514469,24.023301
"22","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.58374,16.64809
"23","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.33874,16.52857
"24","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.97407,17.25131
"25","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.48799,16.6004
"26","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.54818,16.61036
"27","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,58.51741,13.29063
"28","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,55.49215,12.94592
"29","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.59392,15.70764
"30","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,57.79521,11.74705
"31","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,63.82732,20.25202
"32","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.89591,16.82933
"33","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.38944,13.46355
"34","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.27621,15.19316
"35","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,53.75425,58.681553
"36","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.806212,10.685002
"37","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.42313,16.40649
"38","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.27639,16.49671
"39","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.272205,29.757751
"40","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.316726,29.640548
"41","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.317203,29.639046
"42","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.238208,27.429114
"43","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.317016,29.639415
"44","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.42409,16.41277
"45","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,53.801742,58.726136
"46","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.544122,27.634781
"47","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.53802,27.609352
"48","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,62.250026,25.745844
"49","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.971243,24.503537
"50","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.246365,12.578175
"51","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,58.96833,9.850072
"52","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,57.26711,16.41165
"53","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.61723,16.64571
"54","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.86774,17.62299
"55","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.52166,16.58851
"56","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.79541,17.58622
"57","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.50315,16.61749
"58","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.5239,16.55556
"59","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.35547,16.53498
"60","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,59.200402,10.938875
"61","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,56.11091,12.61838
"62","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,57.67802,14.93656
"63","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.506696,23.442384
"64","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.968897,21.692016
"65","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,61.713158,29.399531
"66","Pediasia aridella Thunberg, 1788","ACCEPTED",1888743,1888743,60.713156,10.863021
