"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574143,-85.945195
"2","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574155,-85.944986
"3","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,36.47866,-84.8601
"4","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,33.303929,-86.661108
"5","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.5741,-85.945206
"6","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,38.51375,-90.584906
"7","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,11.966155,79.763802
"8","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574152,-85.945235
"9","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574175,-85.945248
"10","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.084222,-76.744325
"11","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,37.258219,-92.021514
"12","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.692335,-78.041813
"13","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.314881,-79.84904
"14","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.360371,-80.362652
"15","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,41.430829,-72.889823
"16","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.301051,-72.238988
"17","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,35.4157,-85.2424
"18","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.314913,-79.84902
"19","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.625167,-72.197757
"20","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574151,-85.945079
"21","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.517247,-76.697533
"22","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.698752,-80.410211
"23","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,36.231853,-80.301646
"24","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.534705,-75.992413
"25","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.657728,-77.883069
"26","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,40.145968,-105.307516
"27","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.833078,-72.376567
"28","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,41.80486,-72.330899
"29","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.312354,-74.873645
"30","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,40.028163,-105.293033
"31","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.81153,-72.366609
"32","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.070764,-76.805564
"33","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.834386,-72.355316
"34","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,34.899433,-87.697358
"35","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.345005,-72.227729
"36","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,41.246312,-81.098141
"37","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,46.770662,-84.957213
"38","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,35.012642,-82.300888
"39","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.551382,-78.595704
"40","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,36.623116,-93.164069
"41","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.839649,-72.381844
"42","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.132165,-72.525592
"43","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.470372,-72.410433
"44","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.0789,-76.806664
"45","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.135767,-81.561302
"46","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.528087,-72.292369
"47","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,46.770428,-84.957096
"48","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.601885,-76.641301
"49","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574147,-85.945241
"50","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,41.430696,-72.890333
"51","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.258848,-78.168731
"52","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.411635,-68.003576
"53","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.362222,-80.195278
"54","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,41.707999,-103.678304
"55","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,40.470735,-79.856288
"56","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.572448,-79.98292
"57","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574156,-85.945263
"58","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,35.103601,-84.93211
"59","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.407387,-75.118821
"60","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,40.925373,-74.276544
"61","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.420575,-81.43592
"62","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.757862,-71.719852
"63","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.311977,-74.873729
"64","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.702267,-80.46381
"65","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.673714,-82.525864
"66","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.135636,-81.560769
"67","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,38.274649,-77.505399
"68","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,40.989379,-72.542704
"69","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.574139,-85.945962
"70","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,46.013035,-81.397834
"71","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.747808,-73.925978
"72","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,38.509319,-90.584429
"73","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.6042,-71.61682
"74","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,40.999114,-72.078894
"75","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.466242,-74.326535
"76","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.756358,-71.72155
"77","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.856311,-73.718646
"78","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.671552,-76.702121
"79","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.312112,-74.874029
"80","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.572436,-79.982987
"81","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.268112,-81.823975
"82","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.070756,-76.805717
"83","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.572453,-79.982942
"84","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,46.770256,-84.95701
"85","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,34.470627,-82.257814
"86","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.040542,-76.759504
"87","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,33.443445,-85.579956
"88","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,32.849163,-83.888606
"89","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,37.804834,-82.864062
"90","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,38.726222,-79.487609
"91","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,37.569006,-90.724216
"92","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.494447,-76.39341
"93","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.47736,-77.31382
"94","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,35.268911,-85.171145
"95","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.628903,-72.939627
"96","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.494068,-76.393408
"97","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,39.667101,-78.549829
"98","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,42.698515,-80.410715
"99","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.349442,-80.112013
"100","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.441861,-79.748326
"101","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,44.891765,-78.707734
"102","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,35.099127,-92.466578
"103","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,46.247577,-79.123112
"104","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.363005,-75.863067
"105","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,43.694404,-80.248996
"106","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.362818,-80.19047
"107","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,46.210858,-62.730738
"108","Peoria approximella Walker, 1866","ACCEPTED",1878370,1878370,45.135764,-81.561319
