"","scientificName","taxonomicStatus","taxonKey","speciesKey","decimalLatitude","decimalLongitude"
"1","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,52.748756,58.592632
"2","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,52.748661,58.592419
"3","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,52.026747,48.757444
"4","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,40.825736,-3.697164
"5","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,48.058411,46.899063
"6","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,53.207249,58.524704
"7","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,53.48101,57.894301
"8","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,47.989023,46.423795
"9","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,31.8154,-7.067
"10","Talis quercella (Denis & Schiffermüller), 1775","ACCEPTED",1882359,1882359,49.5558,6.20956
