"","x"
"1",0.872916666666667
"2",0.87
"3",0.866833333333333
"4",0.8585
"5",0.839
"6",0.831
"7",0.827666666666667
"8",0.822833333333333
"9",0.815
"10",0.810666666666667
"11",0.809333333333333
"12",0.795333333333333
"13",0.789
"14",0.787583333333333
"15",0.786416666666667
"16",0.781166666666667
"17",0.77575
"18",0.7755
"19",0.7755
"20",0.77175
"21",0.7705
"22",0.769416666666667
"23",0.76925
"24",0.769083333333333
"25",0.768666666666667
"26",0.767166666666667
"27",0.7655
"28",0.762333333333333
"29",0.753416666666667
"30",0.752083333333333
"31",0.749583333333333
"32",0.743916666666667
"33",0.7425
"34",0.740583333333333
"35",0.740583333333333
"36",0.739166666666667
"37",0.738583333333333
"38",0.737583333333333
"39",0.7365
"40",0.734416666666667
"41",0.734083333333333
"42",0.733666666666667
"43",0.733416666666667
"44",0.726666666666667
"45",0.724916666666667
"46",0.72475
"47",0.724
"48",0.720083333333333
"49",0.717833333333333
"50",0.717416666666667
"51",0.717083333333333
"52",0.715333333333333
"53",0.713583333333333
"54",0.710916666666667
"55",0.709833333333333
"56",0.709583333333333
"57",0.707583333333333
"58",0.706083333333333
"59",0.700833333333333
"60",0.697416666666667
"61",0.697166666666667
"62",0.695833333333333
"63",0.69125
"64",0.68975
"65",0.686916666666667
"66",0.68375
"67",0.682416666666667
"68",0.681833333333333
"69",0.678
"70",0.676666666666667
"71",0.676
"72",0.67375
"73",0.67175
"74",0.67125
"75",0.664666666666667
"76",0.664166666666667
"77",0.664166666666667
"78",0.663166666666667
"79",0.662583333333333
"80",0.661666666666667
"81",0.660833333333333
"82",0.657666666666667
"83",0.656833333333333
"84",0.645333333333333
"85",0.636833333333333
"86",0.632833333333333
"87",0.629666666666667
"88",0.626166666666667
"89",0.625583333333333
"90",0.624583333333333
"91",0.608083333333333
"92",0.601083333333333
"93",0.588666666666667
"94",0.560083333333333
"95",0.549416666666667
"96",0.5
"97",0.5
"98",0.5
"99",0.5
