"","x"
"1",0.974
"2",0.9197
"3",0.9192
"4",0.9146
"5",0.8744
"6",0.871
"7",0.8594
"8",0.8458
"9",0.8249
"10",0.824
"11",0.8214
"12",0.8211
"13",0.8209
"14",0.8178
"15",0.8162
"16",0.8132
"17",0.8122
"18",0.8058
"19",0.8044
"20",0.7999
"21",0.799
"22",0.7978
"23",0.789
"24",0.7873
"25",0.7872
"26",0.7856
"27",0.785
"28",0.7819
"29",0.7797
"30",0.7794
"31",0.778
"32",0.774
"33",0.7731
"34",0.7716
"35",0.7708
"36",0.7664
"37",0.7629
"38",0.7596
"39",0.7569
"40",0.7564
"41",0.7544
"42",0.7521
"43",0.7487
"44",0.7483
"45",0.7477
"46",0.747
"47",0.743
"48",0.734
"49",0.7322
"50",0.729
"51",0.7289
"52",0.7252
"53",0.7248
"54",0.7246
"55",0.7234
"56",0.7231
"57",0.7229
"58",0.7211
"59",0.7185
"60",0.7182
"61",0.718
"62",0.7083
"63",0.7061
"64",0.6913
"65",0.6839
"66",0.6802
"67",0.6751
"68",0.6669
"69",0.6656
"70",0.6645
"71",0.6639
"72",0.6546
"73",0.6544
"74",0.6517
"75",0.6516
"76",0.6414
"77",0.637
"78",0.6337
"79",0.6311
"80",0.6256
"81",0.6192
"82",0.6141
"83",0.6012
"84",0.5988
"85",0.5959
"86",0.578
"87",0.5777
"88",0.5599
"89",0.5572
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
