"","x"
"1",0.9174
"2",0.9087
"3",0.8967
"4",0.8923
"5",0.8919
"6",0.8622
"7",0.8621
"8",0.8576
"9",0.8562
"10",0.8495
"11",0.8374
"12",0.8362
"13",0.8352
"14",0.8342
"15",0.8316
"16",0.8259
"17",0.8229
"18",0.8202
"19",0.8154
"20",0.8134
"21",0.8083
"22",0.8058
"23",0.8048
"24",0.8032
"25",0.7962
"26",0.7954
"27",0.7946
"28",0.7936
"29",0.7926
"30",0.7919
"31",0.7907
"32",0.7906
"33",0.7881
"34",0.7874
"35",0.7828
"36",0.7778
"37",0.7761
"38",0.7755
"39",0.7709
"40",0.7683
"41",0.7674
"42",0.767
"43",0.7666
"44",0.7655
"45",0.7631
"46",0.7626
"47",0.7614
"48",0.7592
"49",0.7575
"50",0.7542
"51",0.7539
"52",0.7535
"53",0.7517
"54",0.7511
"55",0.7508
"56",0.75
"57",0.7438
"58",0.7422
"59",0.7403
"60",0.7328
"61",0.7216
"62",0.7197
"63",0.718
"64",0.7164
"65",0.7139
"66",0.7115
"67",0.7096
"68",0.707
"69",0.6989
"70",0.6981
"71",0.696
"72",0.6933
"73",0.6908
"74",0.6866
"75",0.6862
"76",0.6721
"77",0.6713
"78",0.6711
"79",0.6705
"80",0.6618
"81",0.6616
"82",0.6578
"83",0.6471
"84",0.635
"85",0.6309
"86",0.6217
"87",0.6192
"88",0.6168
"89",0.6135
"90",0.6098
"91",0.5962
"92",0.5919
"93",0.5543
"94",0.5353
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
