"","x"
"1",0.7783125
"2",0.7641875
"3",0.764
"4",0.757875
"5",0.7473125
"6",0.7378125
"7",0.73525
"8",0.7341875
"9",0.7328125
"10",0.7298125
"11",0.7255
"12",0.7243125
"13",0.7236875
"14",0.7234375
"15",0.72228125
"16",0.7199375
"17",0.717875
"18",0.7154375
"19",0.715375
"20",0.7136875
"21",0.712125
"22",0.7084375
"23",0.7079375
"24",0.706
"25",0.7055625
"26",0.7041875
"27",0.7033125
"28",0.6999375
"29",0.69975
"30",0.6964375
"31",0.6949375
"32",0.6926875
"33",0.6923125
"34",0.6920625
"35",0.6920625
"36",0.6911875
"37",0.69025
"38",0.68625
"39",0.68625
"40",0.685625
"41",0.6846875
"42",0.683125
"43",0.6821875
"44",0.681625
"45",0.681125
"46",0.67959375
"47",0.678375
"48",0.67425
"49",0.674
"50",0.673625
"51",0.6728125
"52",0.6715
"53",0.6695
"54",0.6694375
"55",0.667
"56",0.664375
"57",0.66309375
"58",0.6624375
"59",0.66021875
"60",0.65928125
"61",0.65921875
"62",0.6559375
"63",0.65490625
"64",0.653
"65",0.6529375
"66",0.6521875
"67",0.6505
"68",0.648125
"69",0.6475625
"70",0.645
"71",0.6449375
"72",0.6445625
"73",0.6434375
"74",0.6416875
"75",0.6408125
"76",0.638125
"77",0.6378125
"78",0.63628125
"79",0.630125
"80",0.6296875
"81",0.625625
"82",0.62325
"83",0.62325
"84",0.621625
"85",0.6156875
"86",0.613375
"87",0.6105625
"88",0.6089375
"89",0.6045625
"90",0.6015625
"91",0.601
"92",0.6001875
"93",0.59978125
"94",0.5955625
"95",0.5894375
"96",0.5873125
"97",0.587
"98",0.58490625
"99",0.56409375
