"","x"
"1",0.740172413793104
"2",0.720827586206897
"3",0.707103448275862
"4",0.706206896551724
"5",0.706103448275862
"6",0.704068965517241
"7",0.696637931034483
"8",0.694827586206897
"9",0.694172413793103
"10",0.694068965517241
"11",0.689189655172414
"12",0.685344827586207
"13",0.675793103448276
"14",0.674793103448276
"15",0.672655172413793
"16",0.671965517241379
"17",0.669431034482759
"18",0.668275862068965
"19",0.667551724137931
"20",0.667103448275862
"21",0.666258620689655
"22",0.663620689655172
"23",0.663206896551724
"24",0.662086206896552
"25",0.661275862068965
"26",0.660586206896552
"27",0.659310344827586
"28",0.657103448275862
"29",0.656120689655172
"30",0.655275862068965
"31",0.654827586206897
"32",0.654620689655172
"33",0.653034482758621
"34",0.652879310344828
"35",0.652551724137931
"36",0.652034482758621
"37",0.651758620689655
"38",0.648655172413793
"39",0.647724137931034
"40",0.644655172413793
"41",0.642724137931034
"42",0.642448275862069
"43",0.641724137931034
"44",0.640931034482759
"45",0.639379310344828
"46",0.639241379310345
"47",0.639137931034483
"48",0.637344827586207
"49",0.633379310344828
"50",0.631172413793103
"51",0.630793103448276
"52",0.629241379310345
"53",0.628931034482759
"54",0.628362068965517
"55",0.628155172413793
"56",0.627948275862069
"57",0.627448275862069
"58",0.627379310344828
"59",0.626793103448276
"60",0.626655172413793
"61",0.625448275862069
"62",0.625137931034483
"63",0.618862068965517
"64",0.617206896551724
"65",0.616172413793104
"66",0.615431034482759
"67",0.614931034482759
"68",0.614706896551724
"69",0.614327586206897
"70",0.613172413793103
"71",0.612586206896552
"72",0.611758620689655
"73",0.60951724137931
"74",0.609206896551724
"75",0.608672413793103
"76",0.603448275862069
"77",0.603051724137931
"78",0.601931034482759
"79",0.600189655172414
"80",0.599724137931035
"81",0.598965517241379
"82",0.598086206896552
"83",0.595724137931035
"84",0.594413793103448
"85",0.593862068965517
"86",0.592275862068966
"87",0.591862068965517
"88",0.591258620689655
"89",0.590310344827586
"90",0.588862068965517
"91",0.586879310344828
"92",0.585810344827586
"93",0.580413793103448
"94",0.576620689655172
"95",0.574275862068966
"96",0.569810344827586
"97",0.563465517241379
"98",0.557413793103448
"99",0.500568965517241
