"","x"
"1",0.907
"2",0.8918
"3",0.885
"4",0.8844
"5",0.884
"6",0.8758
"7",0.861
"8",0.8518
"9",0.8397
"10",0.839
"11",0.8386
"12",0.8354
"13",0.8342
"14",0.8314
"15",0.8289
"16",0.8204
"17",0.8171
"18",0.817
"19",0.8152
"20",0.8129
"21",0.8122
"22",0.8068
"23",0.805
"24",0.7979
"25",0.7948
"26",0.7928
"27",0.7891
"28",0.7842
"29",0.7763
"30",0.7759
"31",0.7753
"32",0.7705
"33",0.7696
"34",0.7644
"35",0.76
"36",0.7596
"37",0.7519
"38",0.7513
"39",0.7481
"40",0.7474
"41",0.738
"42",0.7372
"43",0.7295
"44",0.7295
"45",0.7267
"46",0.725
"47",0.7246
"48",0.7218
"49",0.7171
"50",0.7137
"51",0.7128
"52",0.71
"53",0.7062
"54",0.7062
"55",0.7061
"56",0.7039
"57",0.702
"58",0.7011
"59",0.6966
"60",0.6936
"61",0.6933
"62",0.6855
"63",0.681
"64",0.6795
"65",0.6789
"66",0.6784
"67",0.6746
"68",0.6715
"69",0.6712
"70",0.6653
"71",0.6646
"72",0.6596
"73",0.6448
"74",0.641
"75",0.6403
"76",0.6401
"77",0.6394
"78",0.6374
"79",0.636
"80",0.6336
"81",0.6331
"82",0.6299
"83",0.6283
"84",0.628
"85",0.6075
"86",0.6042
"87",0.579
"88",0.5784
"89",0.575
"90",0.5726
"91",0.5263
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
