"","x"
"1",0.887285714285714
"2",0.864142857142857
"3",0.842857142857143
"4",0.842071428571429
"5",0.828071428571429
"6",0.8195
"7",0.817
"8",0.811571428571429
"9",0.810571428571429
"10",0.807714285714286
"11",0.799
"12",0.796285714285714
"13",0.794428571428571
"14",0.790571428571429
"15",0.789857142857143
"16",0.786071428571429
"17",0.785142857142857
"18",0.780285714285714
"19",0.777
"20",0.773428571428571
"21",0.773
"22",0.766928571428571
"23",0.763285714285714
"24",0.760714285714286
"25",0.755857142857143
"26",0.755571428571429
"27",0.748571428571429
"28",0.745571428571429
"29",0.742714285714286
"30",0.741285714285714
"31",0.740142857142857
"32",0.734785714285714
"33",0.732857142857143
"34",0.731428571428571
"35",0.730928571428571
"36",0.725857142857143
"37",0.725
"38",0.719857142857143
"39",0.715714285714286
"40",0.715428571428571
"41",0.715
"42",0.707357142857143
"43",0.703285714285714
"44",0.700857142857143
"45",0.700571428571429
"46",0.699857142857143
"47",0.6975
"48",0.697142857142857
"49",0.695
"50",0.691857142857143
"51",0.691285714285714
"52",0.689571428571429
"53",0.687714285714286
"54",0.6855
"55",0.6835
"56",0.681214285714286
"57",0.679642857142857
"58",0.6765
"59",0.671285714285714
"60",0.670571428571429
"61",0.666428571428571
"62",0.665857142857143
"63",0.663928571428571
"64",0.655928571428571
"65",0.655142857142857
"66",0.654571428571429
"67",0.654214285714286
"68",0.654142857142857
"69",0.652571428571429
"70",0.651714285714286
"71",0.650714285714286
"72",0.6475
"73",0.644714285714286
"74",0.642285714285714
"75",0.64
"76",0.634071428571429
"77",0.633285714285714
"78",0.619357142857143
"79",0.605714285714286
"80",0.601428571428571
"81",0.593071428571429
"82",0.592071428571429
"83",0.587214285714286
"84",0.586714285714286
"85",0.583571428571429
"86",0.5765
"87",0.5545
"88",0.534071428571429
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
