"","x"
"1",0.9422
"2",0.9136
"3",0.9042
"4",0.9038
"5",0.8794
"6",0.879
"7",0.869
"8",0.8664
"9",0.865
"10",0.8642
"11",0.8438
"12",0.8394
"13",0.8383
"14",0.8339
"15",0.833
"16",0.8328
"17",0.8274
"18",0.8218
"19",0.814
"20",0.8118
"21",0.8084
"22",0.8082
"23",0.8079
"24",0.8021
"25",0.7918
"26",0.7844
"27",0.7836
"28",0.7826
"29",0.7819
"30",0.7812
"31",0.7786
"32",0.7696
"33",0.7672
"34",0.7666
"35",0.7654
"36",0.7646
"37",0.7634
"38",0.7597
"39",0.7592
"40",0.7546
"41",0.7508
"42",0.75
"43",0.7464
"44",0.7374
"45",0.7373
"46",0.737
"47",0.7348
"48",0.7204
"49",0.7178
"50",0.7174
"51",0.7172
"52",0.717
"53",0.7122
"54",0.711
"55",0.7068
"56",0.7058
"57",0.7045
"58",0.7037
"59",0.7034
"60",0.7019
"61",0.7016
"62",0.6986
"63",0.6965
"64",0.693
"65",0.6913
"66",0.6906
"67",0.6811
"68",0.6716
"69",0.668
"70",0.6678
"71",0.6642
"72",0.654
"73",0.649
"74",0.6482
"75",0.6479
"76",0.6474
"77",0.6457
"78",0.6457
"79",0.6384
"80",0.6326
"81",0.629
"82",0.6258
"83",0.6201
"84",0.6134
"85",0.6071
"86",0.5896
"87",0.5884
"88",0.5738
"89",0.5418
"90",0.5098
"91",0.5066
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.4775
