"","x"
"1",0.9372
"2",0.9218
"3",0.9214
"4",0.9064
"5",0.877
"6",0.8762
"7",0.8562
"8",0.8557
"9",0.8511
"10",0.8378
"11",0.8292
"12",0.827
"13",0.8248
"14",0.8225
"15",0.8194
"16",0.8143
"17",0.8085
"18",0.807
"19",0.8012
"20",0.801
"21",0.7946
"22",0.7881
"23",0.7863
"24",0.7781
"25",0.7738
"26",0.7731
"27",0.7726
"28",0.7721
"29",0.7684
"30",0.7684
"31",0.764
"32",0.7608
"33",0.7592
"34",0.7581
"35",0.7545
"36",0.7463
"37",0.7442
"38",0.7427
"39",0.7424
"40",0.7406
"41",0.737
"42",0.7297
"43",0.728
"44",0.7244
"45",0.7233
"46",0.7153
"47",0.7142
"48",0.714
"49",0.7108
"50",0.7035
"51",0.6983
"52",0.6976
"53",0.6943
"54",0.6905
"55",0.6892
"56",0.6874
"57",0.6873
"58",0.687
"59",0.6865
"60",0.6832
"61",0.6831
"62",0.6807
"63",0.6781
"64",0.676
"65",0.6749
"66",0.671
"67",0.6709
"68",0.6699
"69",0.6659
"70",0.6645
"71",0.6643
"72",0.6633
"73",0.658
"74",0.6551
"75",0.6547
"76",0.6426
"77",0.642
"78",0.6316
"79",0.6249
"80",0.6142
"81",0.6135
"82",0.6127
"83",0.5966
"84",0.5904
"85",0.5886
"86",0.5815
"87",0.5799
"88",0.5704
"89",0.5675
"90",0.5645
"91",0.5115
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
