"","x"
"1",0.700725
"2",0.692425
"3",0.685725
"4",0.675575
"5",0.670975
"6",0.667375
"7",0.6602375
"8",0.6593
"9",0.65885
"10",0.657725
"11",0.656175
"12",0.6558625
"13",0.65585
"14",0.65325
"15",0.650225
"16",0.650225
"17",0.649625
"18",0.649175
"19",0.64835
"20",0.6472875
"21",0.6467
"22",0.645675
"23",0.644125
"24",0.642525
"25",0.642025
"26",0.641925
"27",0.639325
"28",0.6387625
"29",0.63755
"30",0.637
"31",0.636025
"32",0.6356
"33",0.63455
"34",0.6334875
"35",0.6331
"36",0.6329625
"37",0.6317
"38",0.631425
"39",0.6299
"40",0.629025
"41",0.628275
"42",0.627125
"43",0.626975
"44",0.6246375
"45",0.62435
"46",0.6224
"47",0.622325
"48",0.6201
"49",0.61985
"50",0.6192
"51",0.6179
"52",0.6174
"53",0.616525
"54",0.616275
"55",0.615975
"56",0.615525
"57",0.614375
"58",0.61375
"59",0.6131125
"60",0.6127
"61",0.60955
"62",0.60915
"63",0.608425
"64",0.6074
"65",0.6039
"66",0.6036
"67",0.6027875
"68",0.601475
"69",0.6014625
"70",0.601075
"71",0.6002
"72",0.600125
"73",0.598975
"74",0.59815
"75",0.596325
"76",0.595875
"77",0.595
"78",0.5936
"79",0.590075
"80",0.58955
"81",0.588875
"82",0.58545
"83",0.585225
"84",0.5840625
"85",0.5838625
"86",0.582375
"87",0.5787625
"88",0.578425
"89",0.57785
"90",0.577775
"91",0.577525
"92",0.574375
"93",0.572825
"94",0.566875
"95",0.5604625
"96",0.557875
"97",0.5551
"98",0.54385
"99",0.5171375
