"","x"
"1",0.9061
"2",0.8863
"3",0.8831
"4",0.8794
"5",0.8746
"6",0.8728
"7",0.8659
"8",0.8592
"9",0.8583
"10",0.8376
"11",0.8362
"12",0.8274
"13",0.8188
"14",0.812
"15",0.8108
"16",0.801
"17",0.7944
"18",0.7931
"19",0.7901
"20",0.7897
"21",0.7865
"22",0.7816
"23",0.7803
"24",0.7799
"25",0.7788
"26",0.7772
"27",0.7746
"28",0.774
"29",0.7676
"30",0.7662
"31",0.7659
"32",0.7653
"33",0.7646
"34",0.7622
"35",0.7604
"36",0.7593
"37",0.7582
"38",0.7534
"39",0.7532
"40",0.753
"41",0.7495
"42",0.7484
"43",0.7478
"44",0.7474
"45",0.7425
"46",0.7414
"47",0.7413
"48",0.7411
"49",0.7394
"50",0.739
"51",0.7387
"52",0.738
"53",0.7346
"54",0.7318
"55",0.7311
"56",0.7296
"57",0.7274
"58",0.7272
"59",0.7222
"60",0.7116
"61",0.7098
"62",0.7093
"63",0.7074
"64",0.7062
"65",0.7005
"66",0.6985
"67",0.6974
"68",0.6974
"69",0.6962
"70",0.6928
"71",0.6891
"72",0.6886
"73",0.686
"74",0.6848
"75",0.6814
"76",0.6775
"77",0.6752
"78",0.6738
"79",0.6692
"80",0.663
"81",0.6615
"82",0.6576
"83",0.6525
"84",0.6504
"85",0.6499
"86",0.647
"87",0.638
"88",0.6372
"89",0.6308
"90",0.6247
"91",0.6191
"92",0.6055
"93",0.6017
"94",0.5852
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
