"","x"
"1",0.9382
"2",0.9152
"3",0.8832
"4",0.8666
"5",0.8584
"6",0.8568
"7",0.8542
"8",0.8394
"9",0.8376
"10",0.829
"11",0.8286
"12",0.8256
"13",0.8253
"14",0.8242
"15",0.8236
"16",0.8216
"17",0.816
"18",0.8152
"19",0.8131
"20",0.8102
"21",0.81
"22",0.8072
"23",0.8
"24",0.7979
"25",0.7938
"26",0.7914
"27",0.7845
"28",0.7781
"29",0.7778
"30",0.7774
"31",0.7774
"32",0.7756
"33",0.7724
"34",0.771
"35",0.7708
"36",0.7619
"37",0.7605
"38",0.7594
"39",0.7588
"40",0.7568
"41",0.7526
"42",0.7526
"43",0.75
"44",0.7458
"45",0.7447
"46",0.7416
"47",0.7399
"48",0.7384
"49",0.737
"50",0.727
"51",0.7268
"52",0.7252
"53",0.7251
"54",0.7248
"55",0.722
"56",0.7172
"57",0.7171
"58",0.7171
"59",0.7159
"60",0.7126
"61",0.7081
"62",0.7068
"63",0.7016
"64",0.6992
"65",0.6959
"66",0.6906
"67",0.6897
"68",0.6883
"69",0.6856
"70",0.6853
"71",0.6853
"72",0.6816
"73",0.681
"74",0.6794
"75",0.6773
"76",0.6707
"77",0.6634
"78",0.6607
"79",0.6592
"80",0.6496
"81",0.6455
"82",0.6382
"83",0.6328
"84",0.6224
"85",0.6213
"86",0.6129
"87",0.6098
"88",0.6082
"89",0.5936
"90",0.5933
"91",0.5924
"92",0.5817
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
