"","x"
"1",0.8734375
"2",0.86875
"3",0.841625
"4",0.8325625
"5",0.826125
"6",0.822625
"7",0.819625
"8",0.8155
"9",0.8103125
"10",0.8010625
"11",0.78725
"12",0.781
"13",0.776375
"14",0.772875
"15",0.7608125
"16",0.76
"17",0.7523125
"18",0.7495
"19",0.7489375
"20",0.746625
"21",0.7461875
"22",0.7379375
"23",0.7365625
"24",0.73575
"25",0.7308125
"26",0.730625
"27",0.7305625
"28",0.72875
"29",0.7278125
"30",0.7269375
"31",0.726375
"32",0.7225
"33",0.7210625
"34",0.7101875
"35",0.7090625
"36",0.708
"37",0.704
"38",0.703875
"39",0.703875
"40",0.701375
"41",0.7013125
"42",0.7006875
"43",0.698125
"44",0.6950625
"45",0.694375
"46",0.6935625
"47",0.693
"48",0.6914375
"49",0.6903125
"50",0.6886875
"51",0.6863125
"52",0.682
"53",0.681625
"54",0.6791875
"55",0.678875
"56",0.67875
"57",0.676875
"58",0.6751875
"59",0.670125
"60",0.670125
"61",0.6645
"62",0.6629375
"63",0.652125
"64",0.6480625
"65",0.6459375
"66",0.6445
"67",0.644375
"68",0.6431875
"69",0.6429375
"70",0.642
"71",0.6385
"72",0.6365
"73",0.6309375
"74",0.63075
"75",0.6288125
"76",0.6288125
"77",0.62875
"78",0.6179375
"79",0.6158125
"80",0.613625
"81",0.6119375
"82",0.611625
"83",0.60975
"84",0.607875
"85",0.601
"86",0.596875
"87",0.571875
"88",0.5705
"89",0.56825
"90",0.5674375
"91",0.5673125
"92",0.5566875
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.42725
