"","x"
"1",0.834875
"2",0.8153125
"3",0.81525
"4",0.8096875
"5",0.806375
"6",0.80525
"7",0.8
"8",0.79125
"9",0.78175
"10",0.7716875
"11",0.7693125
"12",0.7689375
"13",0.76675
"14",0.7556875
"15",0.753375
"16",0.752875
"17",0.7511875
"18",0.751
"19",0.7423125
"20",0.74175
"21",0.7365625
"22",0.7324375
"23",0.726125
"24",0.723625
"25",0.71925
"26",0.7179375
"27",0.7175625
"28",0.717
"29",0.714625
"30",0.714375
"31",0.7113125
"32",0.708625
"33",0.7085
"34",0.7043125
"35",0.701125
"36",0.700875
"37",0.700375
"38",0.6914375
"39",0.6896875
"40",0.6831875
"41",0.6824375
"42",0.6824375
"43",0.68
"44",0.676875
"45",0.6711875
"46",0.66975
"47",0.669125
"48",0.6681875
"49",0.6664375
"50",0.665375
"51",0.6646875
"52",0.6628125
"53",0.66275
"54",0.6624375
"55",0.65925
"56",0.655625
"57",0.6521875
"58",0.648375
"59",0.647
"60",0.6425625
"61",0.641625
"62",0.6409375
"63",0.63925
"64",0.63675
"65",0.636
"66",0.6344375
"67",0.6295625
"68",0.6285
"69",0.6266875
"70",0.6245
"71",0.6239375
"72",0.623375
"73",0.6206875
"74",0.6191875
"75",0.6166875
"76",0.6144375
"77",0.613875
"78",0.6125625
"79",0.612
"80",0.611
"81",0.61075
"82",0.608875
"83",0.6006875
"84",0.6005625
"85",0.6005625
"86",0.596875
"87",0.58925
"88",0.588875
"89",0.585
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
