"","x"
"1",0.8345
"2",0.8265
"3",0.8213125
"4",0.8194375
"5",0.8170625
"6",0.8129375
"7",0.811375
"8",0.8053125
"9",0.80075
"10",0.7971875
"11",0.7918125
"12",0.781125
"13",0.7785625
"14",0.77625
"15",0.76625
"16",0.76325
"17",0.75825
"18",0.7565
"19",0.75
"20",0.747375
"21",0.7456875
"22",0.741875
"23",0.74075
"24",0.7405
"25",0.740125
"26",0.737125
"27",0.7355625
"28",0.732
"29",0.7295
"30",0.72825
"31",0.7245625
"32",0.724375
"33",0.717625
"34",0.7175
"35",0.71725
"36",0.7165
"37",0.715125
"38",0.71475
"39",0.714375
"40",0.7143125
"41",0.709625
"42",0.702375
"43",0.70175
"44",0.6981875
"45",0.694875
"46",0.6941875
"47",0.6914375
"48",0.690875
"49",0.685
"50",0.6831875
"51",0.681
"52",0.678125
"53",0.677125
"54",0.676375
"55",0.6753125
"56",0.675125
"57",0.672875
"58",0.67175
"59",0.671
"60",0.66925
"61",0.6659375
"62",0.6653125
"63",0.6633125
"64",0.662875
"65",0.6595
"66",0.65575
"67",0.6516875
"68",0.651
"69",0.6498125
"70",0.647875
"71",0.6448125
"72",0.6405
"73",0.638375
"74",0.6383125
"75",0.6289375
"76",0.62625
"77",0.615625
"78",0.6145
"79",0.612375
"80",0.6075625
"81",0.6035
"82",0.60275
"83",0.60075
"84",0.599875
"85",0.597625
"86",0.595375
"87",0.58925
"88",0.5873125
"89",0.5783125
"90",0.5253125
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.49
