"","x"
"1",0.8156
"2",0.8064
"3",0.7961
"4",0.78515
"5",0.7791
"6",0.7735
"7",0.77225
"8",0.76665
"9",0.766
"10",0.7613
"11",0.75705
"12",0.7509
"13",0.7444
"14",0.73905
"15",0.7299
"16",0.72915
"17",0.7279
"18",0.7257
"19",0.7242
"20",0.71975
"21",0.719
"22",0.7168
"23",0.71555
"24",0.7087
"25",0.70865
"26",0.7086
"27",0.7057
"28",0.7051
"29",0.70315
"30",0.7017
"31",0.7003
"32",0.70025
"33",0.6984
"34",0.6968
"35",0.6951
"36",0.69355
"37",0.6927
"38",0.68965
"39",0.6892
"40",0.6875
"41",0.6868
"42",0.6857
"43",0.6854
"44",0.68465
"45",0.68215
"46",0.6814
"47",0.6811
"48",0.6809
"49",0.67975
"50",0.67875
"51",0.67805
"52",0.67725
"53",0.6764
"54",0.6763
"55",0.6711
"56",0.66915
"57",0.6645
"58",0.664
"59",0.6617
"60",0.66135
"61",0.661
"62",0.6602
"63",0.65655
"64",0.65515
"65",0.6538
"66",0.6534
"67",0.65105
"68",0.6505
"69",0.6492
"70",0.64775
"71",0.6444
"72",0.6425
"73",0.64205
"74",0.634
"75",0.63325
"76",0.63225
"77",0.6317
"78",0.62485
"79",0.6233
"80",0.62195
"81",0.6208
"82",0.6207
"83",0.6189
"84",0.61555
"85",0.6067
"86",0.60255
"87",0.59685
"88",0.5907
"89",0.5816
"90",0.57845
"91",0.56295
"92",0.54855
"93",0.54725
"94",0.50735
"95",0.5
"96",0.5
"97",0.4852
"98",0.4289
"99",0.4281
