"","x"
"1",0.617246323529412
"2",0.611227941176471
"3",0.606294117647059
"4",0.606198529411765
"5",0.605900735294118
"6",0.605878676470588
"7",0.605158088235294
"8",0.605102941176471
"9",0.604569852941176
"10",0.602926470588235
"11",0.602698529411765
"12",0.602606617647059
"13",0.602488970588235
"14",0.600691176470588
"15",0.598691176470588
"16",0.596036764705882
"17",0.594724264705882
"18",0.5945
"19",0.593558823529412
"20",0.592621323529412
"21",0.591974264705882
"22",0.591797794117647
"23",0.589761029411765
"24",0.588095588235294
"25",0.587941176470588
"26",0.587198529411765
"27",0.587125
"28",0.586713235294118
"29",0.586143382352941
"30",0.586084558823529
"31",0.586
"32",0.585786764705882
"33",0.585779411764706
"34",0.585680147058824
"35",0.585224264705882
"36",0.583985294117647
"37",0.582827205882353
"38",0.582566176470588
"39",0.582503676470588
"40",0.582415441176471
"41",0.582400735294118
"42",0.582316176470588
"43",0.582213235294118
"44",0.582209558823529
"45",0.581977941176471
"46",0.580860294117647
"47",0.579275735294118
"48",0.578805147058824
"49",0.578764705882353
"50",0.578540441176471
"51",0.578231617647059
"52",0.577150735294118
"53",0.576911764705882
"54",0.576654411764706
"55",0.576014705882353
"56",0.574338235294118
"57",0.573911764705882
"58",0.573797794117647
"59",0.573628676470588
"60",0.572235294117647
"61",0.572132352941176
"62",0.571963235294118
"63",0.571275735294118
"64",0.570963235294118
"65",0.5694375
"66",0.569375
"67",0.569091911764706
"68",0.568941176470588
"69",0.568834558823529
"70",0.566602941176471
"71",0.566139705882353
"72",0.566077205882353
"73",0.565838235294118
"74",0.565797794117647
"75",0.565474264705882
"76",0.563654411764706
"77",0.561816176470588
"78",0.561768382352941
"79",0.561132352941176
"80",0.560055147058824
"81",0.559882352941176
"82",0.559716911764706
"83",0.559246323529412
"84",0.558856617647059
"85",0.558658088235294
"86",0.558393382352941
"87",0.557227941176471
"88",0.556661764705882
"89",0.555647058823529
"90",0.554588235294118
"91",0.553764705882353
"92",0.552852941176471
"93",0.552389705882353
"94",0.550025735294118
"95",0.548216911764706
"96",0.548018382352941
"97",0.544551470588235
"98",0.543790441176471
"99",0.540025735294118
