"","x"
"1",0.834875
"2",0.829125
"3",0.809375
"4",0.7979375
"5",0.793875
"6",0.788875
"7",0.787875
"8",0.7835
"9",0.773375
"10",0.7729375
"11",0.7705
"12",0.7659375
"13",0.7649375
"14",0.764875
"15",0.7595
"16",0.75
"17",0.749875
"18",0.7484375
"19",0.74125
"20",0.74075
"21",0.73775
"22",0.7370625
"23",0.736875
"24",0.733
"25",0.72125
"26",0.7181875
"27",0.718
"28",0.7156875
"29",0.7101875
"30",0.710125
"31",0.7076875
"32",0.70725
"33",0.7050625
"34",0.6999375
"35",0.6990625
"36",0.6973125
"37",0.69725
"38",0.6950625
"39",0.695
"40",0.6945
"41",0.6936875
"42",0.6908125
"43",0.69025
"44",0.6868125
"45",0.686
"46",0.6843125
"47",0.6834375
"48",0.6825
"49",0.6824375
"50",0.681375
"51",0.6813125
"52",0.67725
"53",0.6761875
"54",0.675
"55",0.674875
"56",0.6695
"57",0.6618125
"58",0.6589375
"59",0.6574375
"60",0.654375
"61",0.650875
"62",0.6471875
"63",0.645625
"64",0.6433125
"65",0.6415
"66",0.6375
"67",0.62475
"68",0.62275
"69",0.6221875
"70",0.6168125
"71",0.6140625
"72",0.611875
"73",0.608
"74",0.6035625
"75",0.6024375
"76",0.599625
"77",0.5988125
"78",0.598125
"79",0.596375
"80",0.59525
"81",0.592875
"82",0.571125
"83",0.5656875
"84",0.5634375
"85",0.546875
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
