"","x"
"1",0.8611
"2",0.8607
"3",0.8283
"4",0.8171
"5",0.80595
"6",0.8055
"7",0.80005
"8",0.7831
"9",0.7822
"10",0.7795
"11",0.77775
"12",0.7735
"13",0.77205
"14",0.766
"15",0.76535
"16",0.7643
"17",0.76325
"18",0.759
"19",0.7545
"20",0.7535
"21",0.7498
"22",0.74515
"23",0.742
"24",0.7417
"25",0.7402
"26",0.7385
"27",0.7384
"28",0.7355
"29",0.73335
"30",0.7288
"31",0.7264
"32",0.72515
"33",0.7219
"34",0.71575
"35",0.7156
"36",0.7155
"37",0.7143
"38",0.7138
"39",0.7084
"40",0.6991
"41",0.69585
"42",0.6958
"43",0.6947
"44",0.69425
"45",0.6905
"46",0.689
"47",0.68675
"48",0.6866
"49",0.6852
"50",0.6824
"51",0.6765
"52",0.67535
"53",0.6681
"54",0.66715
"55",0.66295
"56",0.6622
"57",0.66045
"58",0.6562
"59",0.656
"60",0.65455
"61",0.651
"62",0.65085
"63",0.65075
"64",0.6493
"65",0.6487
"66",0.6481
"67",0.6443
"68",0.64185
"69",0.63525
"70",0.63485
"71",0.6331
"72",0.6316
"73",0.62955
"74",0.6227
"75",0.6195
"76",0.61925
"77",0.61815
"78",0.6164
"79",0.6153
"80",0.61515
"81",0.60555
"82",0.6051
"83",0.60435
"84",0.604
"85",0.60355
"86",0.6003
"87",0.5996
"88",0.59625
"89",0.59485
"90",0.5933
"91",0.59235
"92",0.58945
"93",0.58885
"94",0.5862
"95",0.57265
"96",0.57165
"97",0.55805
"98",0.55755
"99",0.5
