"","x"
"1",0.9178
"2",0.912
"3",0.8834
"4",0.8822
"5",0.8776
"6",0.8692
"7",0.8614
"8",0.8606
"9",0.8552
"10",0.8524
"11",0.8506
"12",0.8493
"13",0.8402
"14",0.84
"15",0.8394
"16",0.8333
"17",0.8324
"18",0.8314
"19",0.8288
"20",0.8254
"21",0.825
"22",0.822
"23",0.8142
"24",0.8094
"25",0.8082
"26",0.808
"27",0.806
"28",0.8052
"29",0.7983
"30",0.7963
"31",0.7944
"32",0.792
"33",0.7912
"34",0.7902
"35",0.7849
"36",0.7828
"37",0.7824
"38",0.7762
"39",0.7759
"40",0.7739
"41",0.7718
"42",0.7716
"43",0.77
"44",0.7686
"45",0.7681
"46",0.7646
"47",0.7626
"48",0.762
"49",0.7614
"50",0.7603
"51",0.7579
"52",0.7538
"53",0.7508
"54",0.7486
"55",0.7483
"56",0.748
"57",0.7474
"58",0.7407
"59",0.7334
"60",0.7316
"61",0.731
"62",0.7204
"63",0.717
"64",0.7156
"65",0.7027
"66",0.7018
"67",0.7014
"68",0.7
"69",0.6998
"70",0.6974
"71",0.6973
"72",0.697
"73",0.6961
"74",0.6907
"75",0.6876
"76",0.6825
"77",0.6812
"78",0.677
"79",0.6765
"80",0.6618
"81",0.6578
"82",0.6537
"83",0.651
"84",0.6386
"85",0.63
"86",0.6132
"87",0.6103
"88",0.6031
"89",0.6004
"90",0.5965
"91",0.5934
"92",0.5865
"93",0.583
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
