"","x"
"1",0.81675
"2",0.7981875
"3",0.78925
"4",0.7785
"5",0.7660625
"6",0.755875
"7",0.748125
"8",0.73925
"9",0.7391875
"10",0.73875
"11",0.737625
"12",0.7355
"13",0.7355
"14",0.72853125
"15",0.72815625
"16",0.7278125
"17",0.7265
"18",0.726375
"19",0.7184375
"20",0.7150625
"21",0.714125
"22",0.7135625
"23",0.71259375
"24",0.7116875
"25",0.7069375
"26",0.7054375
"27",0.7050625
"28",0.704
"29",0.7009375
"30",0.6974375
"31",0.695125
"32",0.69125
"33",0.6911875
"34",0.6903125
"35",0.6885625
"36",0.6885
"37",0.68709375
"38",0.686125
"39",0.6838125
"40",0.682375
"41",0.676
"42",0.67553125
"43",0.6739375
"44",0.673
"45",0.6699375
"46",0.668875
"47",0.66275
"48",0.6626875
"49",0.6605625
"50",0.658625
"51",0.65615625
"52",0.656125
"53",0.65521875
"54",0.652625
"55",0.6520625
"56",0.6511875
"57",0.64975
"58",0.649625
"59",0.6485625
"60",0.6463125
"61",0.64565625
"62",0.64478125
"63",0.6433125
"64",0.6393125
"65",0.63765625
"66",0.637
"67",0.6364375
"68",0.636375
"69",0.636375
"70",0.635375
"71",0.635375
"72",0.6305
"73",0.628375
"74",0.6275
"75",0.627125
"76",0.6261875
"77",0.6245625
"78",0.6244375
"79",0.6218125
"80",0.621375
"81",0.6183125
"82",0.61678125
"83",0.6161875
"84",0.6131875
"85",0.6061875
"86",0.603125
"87",0.60225
"88",0.6
"89",0.597375
"90",0.59175
"91",0.5865625
"92",0.58409375
"93",0.582
"94",0.582
"95",0.5799375
"96",0.5749375
"97",0.57459375
"98",0.5745
"99",0.5485625
