"","x"
"1",0.74824
"2",0.74616
"3",0.72912
"4",0.72692
"5",0.71876
"6",0.71828
"7",0.717
"8",0.708
"9",0.70328
"10",0.70036
"11",0.69204
"12",0.68964
"13",0.68532
"14",0.6848
"15",0.68432
"16",0.68328
"17",0.68312
"18",0.6824
"19",0.68132
"20",0.68124
"21",0.68112
"22",0.68096
"23",0.68016
"24",0.6782
"25",0.6764
"26",0.67476
"27",0.67192
"28",0.67088
"29",0.66984
"30",0.66848
"31",0.66824
"32",0.6674
"33",0.66716
"34",0.66676
"35",0.66452
"36",0.66412
"37",0.66292
"38",0.66232
"39",0.66192
"40",0.66172
"41",0.66172
"42",0.66052
"43",0.66024
"44",0.66
"45",0.65968
"46",0.65812
"47",0.65764
"48",0.65452
"49",0.65448
"50",0.65424
"51",0.6534
"52",0.6526
"53",0.6518
"54",0.6491
"55",0.64904
"56",0.64704
"57",0.64592
"58",0.64528
"59",0.64514
"60",0.64492
"61",0.64344
"62",0.64332
"63",0.64324
"64",0.64192
"65",0.64132
"66",0.6394
"67",0.63908
"68",0.63748
"69",0.6352
"70",0.63488
"71",0.63376
"72",0.63308
"73",0.63296
"74",0.63226
"75",0.63028
"76",0.62872
"77",0.62676
"78",0.61908
"79",0.61532
"80",0.61432
"81",0.60976
"82",0.60804
"83",0.60524
"84",0.60496
"85",0.60128
"86",0.6008
"87",0.58852
"88",0.588
"89",0.58788
"90",0.58384
"91",0.58352
"92",0.58104
"93",0.57712
"94",0.57616
"95",0.57094
"96",0.56304
"97",0.56176
"98",0.55544
"99",0.55356
