"","x"
"1",0.8771
"2",0.86885
"3",0.81965
"4",0.8189
"5",0.8062
"6",0.8027
"7",0.8021
"8",0.8021
"9",0.7968
"10",0.7881
"11",0.7775
"12",0.7771
"13",0.7757
"14",0.7743
"15",0.77265
"16",0.7583
"17",0.7547
"18",0.7491
"19",0.7475
"20",0.7452
"21",0.7451
"22",0.7434
"23",0.7418
"24",0.74
"25",0.7368
"26",0.7365
"27",0.7361
"28",0.7318
"29",0.7294
"30",0.7284
"31",0.72645
"32",0.7257
"33",0.71765
"34",0.7157
"35",0.714
"36",0.71365
"37",0.7072
"38",0.70605
"39",0.7059
"40",0.70065
"41",0.6988
"42",0.6984
"43",0.6974
"44",0.69645
"45",0.6958
"46",0.6942
"47",0.6934
"48",0.6933
"49",0.693
"50",0.6928
"51",0.6922
"52",0.6914
"53",0.69065
"54",0.6839
"55",0.6807
"56",0.6803
"57",0.6765
"58",0.676
"59",0.67525
"60",0.665
"61",0.6626
"62",0.6564
"63",0.6556
"64",0.6527
"65",0.6521
"66",0.6507
"67",0.65055
"68",0.64955
"69",0.64685
"70",0.64565
"71",0.6426
"72",0.64075
"73",0.63985
"74",0.6393
"75",0.6324
"76",0.6285
"77",0.6283
"78",0.6252
"79",0.6226
"80",0.62015
"81",0.62015
"82",0.6178
"83",0.6155
"84",0.6092
"85",0.60795
"86",0.60795
"87",0.6026
"88",0.59915
"89",0.594
"90",0.5893
"91",0.58715
"92",0.5865
"93",0.5844
"94",0.5844
"95",0.5807
"96",0.57845
"97",0.5762
"98",0.5664
"99",0.54815
