"","x"
"1",0.76604
"2",0.74344
"3",0.7276
"4",0.72394
"5",0.7122
"6",0.71088
"7",0.70964
"8",0.70766
"9",0.68968
"10",0.68878
"11",0.68872
"12",0.68832
"13",0.68816
"14",0.68806
"15",0.68384
"16",0.68364
"17",0.6826
"18",0.68196
"19",0.677
"20",0.67616
"21",0.67598
"22",0.6754
"23",0.67356
"24",0.67292
"25",0.671
"26",0.66966
"27",0.66916
"28",0.66874
"29",0.6674
"30",0.66436
"31",0.66292
"32",0.66176
"33",0.6598
"34",0.65974
"35",0.65556
"36",0.65534
"37",0.65496
"38",0.6513
"39",0.64926
"40",0.64808
"41",0.64772
"42",0.64712
"43",0.6469
"44",0.6452
"45",0.6446
"46",0.64328
"47",0.64286
"48",0.64198
"49",0.64182
"50",0.64164
"51",0.63956
"52",0.63908
"53",0.63908
"54",0.63894
"55",0.63882
"56",0.63696
"57",0.6348
"58",0.63288
"59",0.63282
"60",0.63244
"61",0.63182
"62",0.62908
"63",0.62884
"64",0.62762
"65",0.62604
"66",0.62576
"67",0.62456
"68",0.6242
"69",0.62412
"70",0.62224
"71",0.62152
"72",0.61716
"73",0.61424
"74",0.6135
"75",0.61024
"76",0.60552
"77",0.60516
"78",0.60378
"79",0.60202
"80",0.6016
"81",0.59954
"82",0.59912
"83",0.5988
"84",0.59824
"85",0.5982
"86",0.59474
"87",0.5945
"88",0.59164
"89",0.59124
"90",0.5846
"91",0.58434
"92",0.579
"93",0.57528
"94",0.5749
"95",0.56656
"96",0.55804
"97",0.55422
"98",0.52696
"99",0.52034
