"","x"
"1",0.9156
"2",0.9072
"3",0.8882
"4",0.8754
"5",0.8586
"6",0.8457
"7",0.8449
"8",0.8418
"9",0.8408
"10",0.8379
"11",0.8364
"12",0.8312
"13",0.8296
"14",0.8272
"15",0.8228
"16",0.8173
"17",0.8028
"18",0.7964
"19",0.7946
"20",0.791
"21",0.7894
"22",0.7872
"23",0.7867
"24",0.7795
"25",0.7716
"26",0.7686
"27",0.7674
"28",0.7668
"29",0.7586
"30",0.7576
"31",0.7561
"32",0.753
"33",0.7514
"34",0.7511
"35",0.7487
"36",0.7472
"37",0.7458
"38",0.7409
"39",0.7348
"40",0.7344
"41",0.7336
"42",0.733
"43",0.7262
"44",0.7243
"45",0.723
"46",0.7224
"47",0.7216
"48",0.7204
"49",0.7201
"50",0.7138
"51",0.7136
"52",0.7128
"53",0.7122
"54",0.7107
"55",0.7105
"56",0.7092
"57",0.7071
"58",0.7056
"59",0.7044
"60",0.7022
"61",0.7017
"62",0.7007
"63",0.7004
"64",0.6987
"65",0.6977
"66",0.6975
"67",0.6966
"68",0.6966
"69",0.6943
"70",0.6902
"71",0.6852
"72",0.6844
"73",0.684
"74",0.6812
"75",0.6756
"76",0.6653
"77",0.6637
"78",0.6611
"79",0.6594
"80",0.6552
"81",0.6509
"82",0.6487
"83",0.6476
"84",0.6387
"85",0.6246
"86",0.6239
"87",0.6174
"88",0.6154
"89",0.6077
"90",0.5939
"91",0.591
"92",0.5684
"93",0.5682
"94",0.5678
"95",0.5544
"96",0.5494
"97",0.5
"98",0.5
"99",0.5
