"","x"
"1",0.819444444444444
"2",0.809666666666667
"3",0.798
"4",0.793666666666667
"5",0.785722222222222
"6",0.765111111111111
"7",0.764944444444444
"8",0.758111111111111
"9",0.7505
"10",0.746666666666667
"11",0.741388888888889
"12",0.740777777777778
"13",0.740666666666667
"14",0.738166666666667
"15",0.731888888888889
"16",0.7305
"17",0.728222222222222
"18",0.724777777777778
"19",0.722388888888889
"20",0.722
"21",0.72
"22",0.716888888888889
"23",0.715333333333333
"24",0.711111111111111
"25",0.710722222222222
"26",0.709166666666667
"27",0.709055555555556
"28",0.702777777777778
"29",0.701944444444444
"30",0.699222222222222
"31",0.698444444444444
"32",0.695
"33",0.693388888888889
"34",0.692333333333333
"35",0.689777777777778
"36",0.689111111111111
"37",0.686944444444444
"38",0.684111111111111
"39",0.682722222222222
"40",0.682388888888889
"41",0.680555555555556
"42",0.679555555555556
"43",0.677777777777778
"44",0.675611111111111
"45",0.671388888888889
"46",0.670444444444444
"47",0.670222222222222
"48",0.669111111111111
"49",0.666722222222222
"50",0.662722222222222
"51",0.662055555555556
"52",0.661333333333333
"53",0.657833333333333
"54",0.6565
"55",0.654222222222222
"56",0.653555555555556
"57",0.652777777777778
"58",0.648888888888889
"59",0.646833333333333
"60",0.645833333333333
"61",0.645222222222222
"62",0.643166666666667
"63",0.640388888888889
"64",0.639333333333333
"65",0.637777777777778
"66",0.636166666666667
"67",0.636111111111111
"68",0.630833333333333
"69",0.624555555555556
"70",0.620222222222222
"71",0.619111111111111
"72",0.616166666666667
"73",0.616166666666667
"74",0.613722222222222
"75",0.610611111111111
"76",0.603111111111111
"77",0.599722222222222
"78",0.599055555555556
"79",0.595166666666667
"80",0.593833333333333
"81",0.585388888888889
"82",0.579833333333333
"83",0.575277777777778
"84",0.568055555555556
"85",0.564888888888889
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
