"","x"
"1",0.73035
"2",0.72085
"3",0.6771
"4",0.67385
"5",0.672925
"6",0.6709625
"7",0.670275
"8",0.66725
"9",0.666575
"10",0.66535
"11",0.66515
"12",0.662725
"13",0.66215
"14",0.66
"15",0.658375
"16",0.65815
"17",0.65805
"18",0.657725
"19",0.657675
"20",0.65495
"21",0.654875
"22",0.654525
"23",0.6537
"24",0.6521
"25",0.652075
"26",0.6514125
"27",0.650025
"28",0.646625
"29",0.644975
"30",0.644825
"31",0.6445
"32",0.6441
"33",0.643925
"34",0.6435
"35",0.641725
"36",0.64165
"37",0.64045
"38",0.6402
"39",0.640025
"40",0.6367
"41",0.635925
"42",0.6357
"43",0.63445
"44",0.63435
"45",0.63425
"46",0.6333875
"47",0.632175
"48",0.63175
"49",0.631675
"50",0.630075
"51",0.628725
"52",0.627075
"53",0.62555
"54",0.625325
"55",0.624675
"56",0.6238
"57",0.623475
"58",0.622875
"59",0.622325
"60",0.62145
"61",0.620775
"62",0.619575
"63",0.61835
"64",0.61725
"65",0.615625
"66",0.613675
"67",0.61355
"68",0.612675
"69",0.612625
"70",0.611025
"71",0.6105
"72",0.608375
"73",0.604575
"74",0.603825
"75",0.603325
"76",0.602125
"77",0.60105
"78",0.59825
"79",0.5963
"80",0.595425
"81",0.591875
"82",0.591275
"83",0.59075
"84",0.59035
"85",0.586825
"86",0.58265
"87",0.5825
"88",0.5812
"89",0.579075
"90",0.57655
"91",0.576075
"92",0.5759125
"93",0.5728125
"94",0.56785
"95",0.567
"96",0.562475
"97",0.5615
"98",0.5583625
"99",0.55275
