X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,1.2595562565536014E-4,49.27034923672756,0.4830034559615256
2.0,2.0,train,5.657610437193332E-5,10.378628626896425,0.29559663740863695
3.0,3.0,train,1.2250652529480956E-4,47.27867605840732,0.47607384942599096
4.0,4.0,train,1.1651013159237318E-4,43.65652335455355,0.46357369700281514
5.0,5.0,train,1.4100408430787922E-4,55.41448261240704,0.5112098232835253
6.0,6.0,train,1.2691685937010774E-4,49.76378610610568,0.48490213438042046
7.0,7.0,train,1.24955331731435E-4,48.74898592114034,0.4810127045784458
8.0,8.0,train,1.3025387967669248E-4,51.30199270667263,0.4913867066594397
9.0,9.0,train,2.5609251830296313E-4,81.7520693229289,0.6551143144093591
10.0,10.0,train,2.083313006427482E-4,74.3814743052787,0.6071117260375659
11.0,11.0,train,1.2250652529480956E-4,47.27867605840732,0.47607384942599096
12.0,12.0,train,7.139511572725284E-4,98.63656381926147,0.8411583992007922
13.0,13.0,train,7.711207838932059E-4,99.36230827057798,0.8511821371239497
14.0,14.0,train,2.683604922808015E-4,83.10496202479766,0.665608489064587
15.0,15.0,train,2.44558070129877E-4,80.38922869826253,0.644628563470094
16.0,16.0,train,2.5753321904103965E-4,81.88031453567096,0.6563807161686154
17.0,17.0,train,1.9019406712879444E-4,70.0148665501753,0.5851868228510496
18.0,18.0,train,1.8758344108738177E-4,69.58708656467044,0.5818279213369895
19.0,19.0,train,1.2377956551716553E-4,47.962349872459924,0.47865304379808543
20.0,20.0,train,1.1548103267275272E-4,43.16354721353238,0.4613682115559913
21.0,21.0,train,2.2108035393216666E-4,76.91223697266281,0.6211857516825395
22.0,22.0,train,1.5401645363015133E-4,59.55347503950079,0.5332302912253708
23.0,23.0,train,8.359199916674018E-5,22.830604029593207,0.3827258687215515
24.0,24.0,train,7.685048175318145E-5,19.481631976461596,0.36306625292243627
25.0,25.0,train,1.2105098411554038E-4,46.34863567429177,0.47309345878220277
26.0,26.0,train,6.5916878799642E-5,14.199339163155221,0.3283742035289605
27.0,27.0,train,9.48233682782224E-5,29.16483897372663,0.4129154082057074
28.0,28.0,train,1.3999387175486774E-4,54.984406062275056,0.5094130376720706
29.0,29.0,train,7.021870297816469E-5,16.217035668360356,0.3424652663943864
30.0,30.0,train,7.00358246996057E-5,16.139786172018525,0.3418782745322625
31.0,31.0,train,1.1002034475529568E-4,38.553379204441335,0.44935508649812855
32.0,32.0,train,1.126126389697106E-4,40.55679713455897,0.4551240605027751
