"","x"
"1",0.833
"2",0.8323125
"3",0.8135625
"4",0.807375
"5",0.8045625
"6",0.79875
"7",0.7975
"8",0.7851875
"9",0.7793125
"10",0.774125
"11",0.76725
"12",0.764125
"13",0.7600625
"14",0.7551875
"15",0.7531875
"16",0.7439375
"17",0.7415
"18",0.7388125
"19",0.737875
"20",0.7354375
"21",0.7348125
"22",0.73425
"23",0.73175
"24",0.7276875
"25",0.726
"26",0.724375
"27",0.7195
"28",0.718625
"29",0.7183125
"30",0.7155
"31",0.7108125
"32",0.708125
"33",0.7076875
"34",0.7060625
"35",0.704625
"36",0.7026875
"37",0.70175
"38",0.7015
"39",0.7006875
"40",0.6973125
"41",0.6960625
"42",0.69525
"43",0.6915625
"44",0.68675
"45",0.685875
"46",0.6813125
"47",0.676875
"48",0.67525
"49",0.6748125
"50",0.6741875
"51",0.6735
"52",0.6720625
"53",0.6705
"54",0.668625
"55",0.66425
"56",0.6616875
"57",0.6558125
"58",0.6554375
"59",0.65425
"60",0.65375
"61",0.6510625
"62",0.65075
"63",0.6505625
"64",0.649125
"65",0.6456875
"66",0.6423125
"67",0.64125
"68",0.6405625
"69",0.6383125
"70",0.6365
"71",0.63475
"72",0.63325
"73",0.6324375
"74",0.6286875
"75",0.62525
"76",0.6235625
"77",0.622125
"78",0.62125
"79",0.6173125
"80",0.6160625
"81",0.615125
"82",0.606375
"83",0.591
"84",0.5905
"85",0.58625
"86",0.579375
"87",0.578625
"88",0.5731875
"89",0.571375
"90",0.5
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
