"","x"
"1",0.7420625
"2",0.724234375
"3",0.71684375
"4",0.70790625
"5",0.70184375
"6",0.698046875
"7",0.691125
"8",0.685
"9",0.680875
"10",0.678484375
"11",0.675609375
"12",0.675359375
"13",0.673109375
"14",0.671859375
"15",0.6710625
"16",0.670828125
"17",0.670015625
"18",0.666375
"19",0.664515625
"20",0.66384375
"21",0.66278125
"22",0.661640625
"23",0.6605
"24",0.6588125
"25",0.657703125
"26",0.65659375
"27",0.656546875
"28",0.653125
"29",0.653
"30",0.652421875
"31",0.647046875
"32",0.64425
"33",0.64175
"34",0.64003125
"35",0.639484375
"36",0.63803125
"37",0.6371875
"38",0.63659375
"39",0.635921875
"40",0.63540625
"41",0.633890625
"42",0.632546875
"43",0.63221875
"44",0.632109375
"45",0.631625
"46",0.63109375
"47",0.63040625
"48",0.628953125
"49",0.628796875
"50",0.6285625
"51",0.62840625
"52",0.627578125
"53",0.62740625
"54",0.627265625
"55",0.626515625
"56",0.625796875
"57",0.6253125
"58",0.62415625
"59",0.623
"60",0.621921875
"61",0.621296875
"62",0.620109375
"63",0.6199375
"64",0.619828125
"65",0.618375
"66",0.61575
"67",0.615375
"68",0.61515625
"69",0.614109375
"70",0.608484375
"71",0.608234375
"72",0.607921875
"73",0.606109375
"74",0.605203125
"75",0.59953125
"76",0.5991875
"77",0.598921875
"78",0.597953125
"79",0.59778125
"80",0.597109375
"81",0.596734375
"82",0.596359375
"83",0.596234375
"84",0.595921875
"85",0.593953125
"86",0.593109375
"87",0.5881875
"88",0.5868125
"89",0.58571875
"90",0.585625
"91",0.580171875
"92",0.572265625
"93",0.572109375
"94",0.571171875
"95",0.569484375
"96",0.569328125
"97",0.568140625
"98",0.564359375
"99",0.534796875
