"","x"
"1",0.9532
"2",0.8894
"3",0.8862
"4",0.8836
"5",0.8818
"6",0.8806
"7",0.8782
"8",0.8658
"9",0.8612
"10",0.8482
"11",0.8476
"12",0.8378
"13",0.836
"14",0.8314
"15",0.8296
"16",0.8284
"17",0.8268
"18",0.824
"19",0.8172
"20",0.8168
"21",0.8146
"22",0.8143
"23",0.8135
"24",0.8128
"25",0.8118
"26",0.81
"27",0.8098
"28",0.8036
"29",0.7942
"30",0.7898
"31",0.7864
"32",0.7864
"33",0.7854
"34",0.7846
"35",0.7822
"36",0.777
"37",0.7757
"38",0.7706
"39",0.7692
"40",0.7612
"41",0.7601
"42",0.7574
"43",0.7548
"44",0.7546
"45",0.7514
"46",0.7513
"47",0.749
"48",0.7453
"49",0.7451
"50",0.7426
"51",0.7415
"52",0.7408
"53",0.7386
"54",0.737
"55",0.7358
"56",0.7328
"57",0.7308
"58",0.7306
"59",0.729
"60",0.725
"61",0.7192
"62",0.7178
"63",0.7088
"64",0.708
"65",0.7014
"66",0.698
"67",0.698
"68",0.6979
"69",0.6966
"70",0.6937
"71",0.6933
"72",0.6924
"73",0.6874
"74",0.6784
"75",0.6724
"76",0.6722
"77",0.6708
"78",0.6708
"79",0.6701
"80",0.6666
"81",0.6637
"82",0.6547
"83",0.6484
"84",0.6474
"85",0.6456
"86",0.64
"87",0.6265
"88",0.6091
"89",0.5937
"90",0.5579
"91",0.5253
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
