"","x"
"1",0.79375
"2",0.7829375
"3",0.780875
"4",0.771
"5",0.76275
"6",0.753125
"7",0.7515
"8",0.741
"9",0.7368125
"10",0.732
"11",0.728125
"12",0.72675
"13",0.725875
"14",0.725875
"15",0.72384375
"16",0.722125
"17",0.721625
"18",0.718125
"19",0.717
"20",0.7139375
"21",0.7135625
"22",0.713
"23",0.7100625
"24",0.7038125
"25",0.7038125
"26",0.6941875
"27",0.6921875
"28",0.6898125
"29",0.688875
"30",0.68765625
"31",0.6854375
"32",0.6794375
"33",0.679
"34",0.6759375
"35",0.6754375
"36",0.67240625
"37",0.671
"38",0.6709375
"39",0.6704375
"40",0.6631875
"41",0.6628125
"42",0.66
"43",0.65828125
"44",0.6581875
"45",0.6558125
"46",0.6544375
"47",0.65425
"48",0.6518125
"49",0.6511875
"50",0.651
"51",0.647625
"52",0.6466875
"53",0.646625
"54",0.6463125
"55",0.645875
"56",0.64525
"57",0.6439375
"58",0.64153125
"59",0.6411875
"60",0.640125
"61",0.6394375
"62",0.6376875
"63",0.633875
"64",0.633875
"65",0.63334375
"66",0.62978125
"67",0.6276875
"68",0.6266875
"69",0.623375
"70",0.6233125
"71",0.6228125
"72",0.619625
"73",0.61696875
"74",0.6169375
"75",0.61275
"76",0.6113125
"77",0.610375
"78",0.60565625
"79",0.60565625
"80",0.6044375
"81",0.6024375
"82",0.600625
"83",0.5995
"84",0.597875
"85",0.596875
"86",0.59534375
"87",0.59525
"88",0.588125
"89",0.583875
"90",0.582
"91",0.5800625
"92",0.57671875
"93",0.5694375
"94",0.5659375
"95",0.5593125
"96",0.55834375
"97",0.5580625
"98",0.557375
"99",0.542875
