"","x"
"1",0.9526
"2",0.9224
"3",0.9082
"4",0.9074
"5",0.8954
"6",0.8909
"7",0.8724
"8",0.8692
"9",0.8676
"10",0.8602
"11",0.849
"12",0.8349
"13",0.8314
"14",0.8277
"15",0.8247
"16",0.823
"17",0.8202
"18",0.82
"19",0.8196
"20",0.8162
"21",0.8102
"22",0.8076
"23",0.8054
"24",0.8008
"25",0.8004
"26",0.7991
"27",0.7983
"28",0.7861
"29",0.7793
"30",0.7791
"31",0.7657
"32",0.7656
"33",0.758
"34",0.7575
"35",0.7564
"36",0.7562
"37",0.7523
"38",0.7514
"39",0.7484
"40",0.7469
"41",0.737
"42",0.7355
"43",0.7325
"44",0.7297
"45",0.7295
"46",0.7287
"47",0.716
"48",0.7154
"49",0.7134
"50",0.71
"51",0.7099
"52",0.7089
"53",0.7082
"54",0.7075
"55",0.7069
"56",0.6964
"57",0.6951
"58",0.6916
"59",0.6911
"60",0.6886
"61",0.688
"62",0.6858
"63",0.6848
"64",0.6836
"65",0.683
"66",0.6824
"67",0.6806
"68",0.6784
"69",0.6722
"70",0.6676
"71",0.6642
"72",0.663
"73",0.6628
"74",0.661
"75",0.6508
"76",0.6503
"77",0.6499
"78",0.642
"79",0.6401
"80",0.638
"81",0.6377
"82",0.6366
"83",0.635
"84",0.6311
"85",0.6278
"86",0.6211
"87",0.6201
"88",0.6166
"89",0.616
"90",0.5888
"91",0.5
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
