"","x"
"1",0.8405
"2",0.81225
"3",0.809625
"4",0.798625
"5",0.79575
"6",0.790625
"7",0.7795
"8",0.778625
"9",0.776625
"10",0.7735625
"11",0.767
"12",0.764625
"13",0.764
"14",0.75825
"15",0.755625
"16",0.7545
"17",0.7535
"18",0.752
"19",0.750875
"20",0.75
"21",0.749875
"22",0.740875
"23",0.740875
"24",0.739875
"25",0.739125
"26",0.7365
"27",0.734875
"28",0.72875
"29",0.727
"30",0.725875
"31",0.7248125
"32",0.722875
"33",0.721625
"34",0.718875
"35",0.718
"36",0.714625
"37",0.714375
"38",0.7126875
"39",0.7120625
"40",0.71125
"41",0.7109375
"42",0.707625
"43",0.706
"44",0.7043125
"45",0.703375
"46",0.701875
"47",0.700375
"48",0.6976875
"49",0.6955
"50",0.6924375
"51",0.6908125
"52",0.6905
"53",0.6900625
"54",0.683125
"55",0.68225
"56",0.682125
"57",0.66875
"58",0.667875
"59",0.6661875
"60",0.666125
"61",0.66125
"62",0.66025
"63",0.659
"64",0.656625
"65",0.6555
"66",0.6535
"67",0.6526875
"68",0.64475
"69",0.641
"70",0.639375
"71",0.6365
"72",0.6364375
"73",0.6333125
"74",0.6313125
"75",0.6311875
"76",0.62675
"77",0.622375
"78",0.6221875
"79",0.6210625
"80",0.62075
"81",0.616625
"82",0.60825
"83",0.6058125
"84",0.597375
"85",0.59025
"86",0.5895625
"87",0.581
"88",0.57675
"89",0.5729375
"90",0.5626875
"91",0.544625
"92",0.5414375
"93",0.539125
"94",0.5316875
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
