"","x"
"1",0.9236
"2",0.9178
"3",0.9032
"4",0.8896
"5",0.8614
"6",0.8584
"7",0.8578
"8",0.8484
"9",0.8462
"10",0.8398
"11",0.837
"12",0.8268
"13",0.8232
"14",0.8226
"15",0.8174
"16",0.8132
"17",0.8098
"18",0.8071
"19",0.8068
"20",0.8052
"21",0.803
"22",0.7996
"23",0.7959
"24",0.7902
"25",0.7896
"26",0.7848
"27",0.7845
"28",0.783
"29",0.7828
"30",0.7808
"31",0.7772
"32",0.7754
"33",0.7753
"34",0.774
"35",0.7735
"36",0.7681
"37",0.7668
"38",0.7664
"39",0.7661
"40",0.7629
"41",0.7594
"42",0.7579
"43",0.755
"44",0.7518
"45",0.7511
"46",0.7505
"47",0.7464
"48",0.737
"49",0.7358
"50",0.7353
"51",0.7351
"52",0.7332
"53",0.7332
"54",0.7319
"55",0.7302
"56",0.7291
"57",0.7267
"58",0.7153
"59",0.715
"60",0.7127
"61",0.7077
"62",0.7052
"63",0.7047
"64",0.7039
"65",0.7035
"66",0.7025
"67",0.7004
"68",0.6965
"69",0.6917
"70",0.688
"71",0.6849
"72",0.6842
"73",0.6838
"74",0.6802
"75",0.68
"76",0.676
"77",0.6759
"78",0.6743
"79",0.6722
"80",0.6702
"81",0.6639
"82",0.6629
"83",0.6608
"84",0.6575
"85",0.6575
"86",0.6566
"87",0.6549
"88",0.6409
"89",0.6352
"90",0.6298
"91",0.6104
"92",0.6016
"93",0.5949
"94",0.5935
"95",0.5556
"96",0.5
"97",0.5
"98",0.5
"99",0.5
