"","x"
"1",0.9068
"2",0.899
"3",0.8828
"4",0.8798
"5",0.8748
"6",0.8706
"7",0.8702
"8",0.8678
"9",0.8654
"10",0.8606
"11",0.8578
"12",0.8504
"13",0.8494
"14",0.8316
"15",0.8307
"16",0.8305
"17",0.8284
"18",0.8228
"19",0.8205
"20",0.8198
"21",0.8192
"22",0.8192
"23",0.8188
"24",0.8118
"25",0.8082
"26",0.8068
"27",0.7935
"28",0.7932
"29",0.7908
"30",0.7906
"31",0.7881
"32",0.7849
"33",0.7842
"34",0.7834
"35",0.7786
"36",0.7744
"37",0.7709
"38",0.7691
"39",0.7657
"40",0.7638
"41",0.761
"42",0.7566
"43",0.7546
"44",0.7539
"45",0.752
"46",0.7508
"47",0.7431
"48",0.743
"49",0.7422
"50",0.7408
"51",0.7405
"52",0.7299
"53",0.727
"54",0.7215
"55",0.7212
"56",0.7192
"57",0.7182
"58",0.7174
"59",0.717
"60",0.7092
"61",0.7057
"62",0.7048
"63",0.7006
"64",0.6992
"65",0.6979
"66",0.6966
"67",0.69
"68",0.685
"69",0.6837
"70",0.6756
"71",0.6618
"72",0.6607
"73",0.66
"74",0.658
"75",0.6578
"76",0.6545
"77",0.6532
"78",0.6492
"79",0.6473
"80",0.6447
"81",0.6436
"82",0.6429
"83",0.64
"84",0.6232
"85",0.6167
"86",0.6132
"87",0.6101
"88",0.6022
"89",0.5859
"90",0.5813
"91",0.5636
"92",0.5
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
