"","x"
"1",0.9184
"2",0.9131
"3",0.8994
"4",0.8906
"5",0.8842
"6",0.8811
"7",0.8652
"8",0.8652
"9",0.8572
"10",0.8542
"11",0.8528
"12",0.8496
"13",0.8468
"14",0.8316
"15",0.8314
"16",0.8266
"17",0.8195
"18",0.813
"19",0.8094
"20",0.797
"21",0.7963
"22",0.7929
"23",0.7853
"24",0.7752
"25",0.7716
"26",0.7714
"27",0.7654
"28",0.7634
"29",0.7633
"30",0.7589
"31",0.7582
"32",0.7564
"33",0.7559
"34",0.7521
"35",0.7518
"36",0.7518
"37",0.7468
"38",0.7464
"39",0.746
"40",0.7428
"41",0.7314
"42",0.7294
"43",0.7292
"44",0.7268
"45",0.7261
"46",0.7242
"47",0.724
"48",0.723
"49",0.7225
"50",0.7222
"51",0.7204
"52",0.7197
"53",0.7181
"54",0.7132
"55",0.7127
"56",0.7102
"57",0.7048
"58",0.7014
"59",0.7001
"60",0.6957
"61",0.6911
"62",0.6888
"63",0.6885
"64",0.6826
"65",0.6797
"66",0.6787
"67",0.6756
"68",0.6702
"69",0.6678
"70",0.6674
"71",0.6645
"72",0.6639
"73",0.6606
"74",0.6604
"75",0.6548
"76",0.6513
"77",0.6511
"78",0.6454
"79",0.6449
"80",0.6353
"81",0.6343
"82",0.6309
"83",0.6296
"84",0.623
"85",0.6205
"86",0.6181
"87",0.6149
"88",0.6071
"89",0.6056
"90",0.5992
"91",0.5791
"92",0.577
"93",0.5738
"94",0.5649
"95",0.5
"96",0.5
"97",0.5
"98",0.4686
"99",0.4677
