"","x"
"1",0.890777777777778
"2",0.8775
"3",0.828333333333333
"4",0.805388888888889
"5",0.797777777777778
"6",0.788888888888889
"7",0.779222222222222
"8",0.775611111111111
"9",0.775611111111111
"10",0.774388888888889
"11",0.769888888888889
"12",0.769388888888889
"13",0.769222222222222
"14",0.763333333333333
"15",0.762611111111111
"16",0.761111111111111
"17",0.758166666666667
"18",0.757888888888889
"19",0.757833333333333
"20",0.755888888888889
"21",0.752444444444444
"22",0.743277777777778
"23",0.741
"24",0.739888888888889
"25",0.738944444444444
"26",0.738444444444444
"27",0.734111111111111
"28",0.733222222222222
"29",0.729166666666667
"30",0.727388888888889
"31",0.725333333333333
"32",0.720111111111111
"33",0.719555555555556
"34",0.717055555555556
"35",0.713333333333333
"36",0.710555555555556
"37",0.710444444444444
"38",0.709111111111111
"39",0.708166666666667
"40",0.706611111111111
"41",0.7065
"42",0.703333333333333
"43",0.7015
"44",0.700611111111111
"45",0.699833333333333
"46",0.697666666666667
"47",0.697666666666667
"48",0.697222222222222
"49",0.695444444444444
"50",0.687666666666667
"51",0.678944444444444
"52",0.678888888888889
"53",0.678055555555556
"54",0.674833333333333
"55",0.6725
"56",0.670388888888889
"57",0.67
"58",0.668388888888889
"59",0.667111111111111
"60",0.664722222222222
"61",0.664666666666667
"62",0.654
"63",0.653611111111111
"64",0.650277777777778
"65",0.6495
"66",0.648277777777778
"67",0.640333333333333
"68",0.640277777777778
"69",0.635277777777778
"70",0.632888888888889
"71",0.632
"72",0.631333333333333
"73",0.628166666666667
"74",0.627888888888889
"75",0.626611111111111
"76",0.626333333333333
"77",0.625444444444444
"78",0.623833333333333
"79",0.622111111111111
"80",0.620222222222222
"81",0.617277777777778
"82",0.613388888888889
"83",0.612444444444444
"84",0.602833333333333
"85",0.600388888888889
"86",0.597444444444444
"87",0.581388888888889
"88",0.580555555555556
"89",0.563166666666667
"90",0.554388888888889
"91",0.5235
"92",0.519
"93",0.5
"94",0.5
"95",0.5
"96",0.5
"97",0.5
"98",0.5
"99",0.5
